peer_addr = 127.0.0.1:5555
test begin!

BlockID  bct  BlockSize  Priority  Deadline
         5         1      1235         1       200
        13         1      1435         1       200
         9        18    288555         2       200
        17         1      1475         1       200
        21         2     53910         2       200
        25         0      1210         1       200
        29         0      1205         1       200
        33         3     53735         2       200
        37         0      1195         1       200
        41         0      1255         1       200
        45        12    171460         2       200
        49         1      1625         1       200
        53         1      1450         1       200
        57         3     53415         2       200
        61         0      1240         1       200
        65         0      1250         1       200
        69        12    172580         2       200
        73         0      1220         1       200
        77         0      1215         1       200
        85        16      1195         1       200
        81        16    281425         2       200
        89         0      1195         1       200
        93         1     52795         2       200
        97         2      1260         1       200
       101         1      1185         1       200
       105        14    257340         2       200
       109        14      1275         1       200
       113         0      1235         1       200
       121         3      1245         1       200
       117         3     49390         2       200
       125         0      1215         1       200
       133        12      1355         1       200
       129        12    256815         2       200
       137         2     45410         2       200
       145         0      1265         1       200
       141         0      1225         1       200
       149         3     64775         2       200
       153         1      1235         1       200
       157         1      1240         1       200
       161        12    244720         2       200
       165         0      1265         1       200
       169         1      1225         1       200
       173         2     36250         2       200
       177         0      1285         1       200
       181         0      1275         1       200
       185         4     62690         2       200
       193         1      1275         1       200
       189         1      1465         1       200
       197         5     78415         2       200
       201         0      1255         1       200
       205         1      1315         1       200
       209         7    168430         2       200
       213         0      1255         1       200
       217         0      1475         1       200
       221         3     59105         2       200
       225         0      1230         1       200
       229         0      1240         1       200
       233        11    226140         2       200
       237         0      1245         1       200
       241         0      1490         1       200
       245         2     37695         2       200
       249         0      1245         1       200
       253         1      1210         1       200
       257         5     71995         2       200
       261         0      1215         1       200
       265         0      1235         1       200
       269         4     80330         2       200
       273         0      1185         1       200
       277         0      1345         1       200
       281        12    193685         2       200
       285         0      1170         1       200
       289         0      1425         1       200
       293         4     70615         2       200
       297         0      1390         1       200
       301         0      1415         1       200
       305         7    101625         2       200
       309         0      1130         1       200
       313         0      1135         1       200
       317         5     61445         2       200
       321         0      1205         1       200
       325         0      1190         1       200
       329         5    123185         2       200
       333         0      1230         1       200
       337         1      1200         1       200
       341         9    198880         2       200
       345         9      1865         1       200
       349         1      1230         1       200
       357         1      1160         1       200
       353         1     23310         2       200
       361         0      1195         1       200
       365         3     44375         2       200
       369         3      1165         1       200
       373         0      1180         1       200
       377         6    120235         2       200
       381         6      1220         1       200
       385         0      1225         1       200
       393         9      1250         1       200
       389        10    244295         2       200
       397         0      1205         1       200
       405         4      1240         1       200
       401         4     59520         2       200
       409         2     45970         2       200
       413         0      1260         1       200
       417         0      1240         1       200
       421         7    119260         2       200
       425         0      1245         1       200
       429         0      1225         1       200
       433         8    212415         2       200
       437         0      1270         1       200
       441         0      1225         1       200
       445         4     52720         2       200
       449         0      1245         1       200
       453         0      1245         1       200
       457         7    153470         2       200
       465         0      1270         1       200
       461         0      1255         1       200
       469         3     51410         2       200
       473         0      1285         1       200
       477         0      1215         1       200
       481        13    218055         2       200
       485         0      1235         1       200
       489         1      1250         1       200
       493         2     51605         2       200
       497         0      1240         1       200
       501         0      1240         1       200
       505         9    215445         2       200
       509         0      1280         1       200
       513         0      1270         1       200
       517         2     33555         2       200
       521         0      1245         1       200
       525         0      1280         1       200
       529        12    195700         2       200
       533         0      1340         1       200
       537         1      1350         1       200
       541         3     45990         2       200
       545         0      1280         1       200
       549         0      1300         1       200
       557         0      1245         1       200
       553        25    668915         2       200
       561         0      1255         1       200
       565         0     15150         2       200
       569         0      1240         1       200
       573         0      1270         1       200
       577        10    135175         2       200
       581         0      1265         1       200
       585         0      1325         1       200
       589         2     22770         2       200
       593         1      1275         1       200
       597         0      1260         1       200
       601         7    143145         2       200
       605         1      1290         1       200
       609         0      1230         1       200
       617         3      1255         1       200
       613         3     33120         2       200
       621         1      1375         1       200
       625         7    151945         2       200
       629         7      1410         1       200
       633         0      1290         1       200
       637         2     24745         2       200
       641         2      1240         1       200
       645         0      1245         1       200
       653         6      1295         1       200
       649         6    113365         2       200
       657         0      1310         1       200
       661         2     22075         2       200
       665         2      1270         1       200
       669         6    120260         2       200
       677         1      1255         1       200
       673         1      1250         1       200
       681         1     18405         2       200
       685         1      1300         1       200
       689         1      1320         1       200
       693        10    175755         2       200
       697         0      1275         1       200
       701         0      1480         1       200
       705         9     17820         2       200
       709         0      1405         1       200
       713         0      1275         1       200
       717        10    145750         2       200
       725         1      1235         1       200
       721         1      1315         1       200
       729         1     26360         2       200
       733         0      1270         1       200
       737         0      1280         1       200
       741         7    114425         2       200
       745         0      1385         1       200
       749         0      1295         1       200
       753         1     15605         2       200
       757         0      1295         1       200
       761         0      1300         1       200
       765         3     76825         2       200
       769         0      1310         1       200
       773         0      1400         1       200
       777        13    309655         2       200
       781         0      1415         1       200
       785         0      1255         1       200
       789         4     79570         2       200
       793         0      1255         1       200
       797         0      1245         1       200
       801         5     72735         2       200
       805         0      1210         1       200
       809         0      1210         1       200
       813        11    175895         2       200
       817         0      1215         1       200
       821         0      1945         1       200
       825        10    166310         2       200
       829         1      1460         1       200
       833         0      1160         1       200
       837         4     72440         2       200
       841         0      1180         1       200
       845         1      1175         1       200
       849         9    183075         2       200
       853         0      1300         1       200
       857         0      1250         1       200
       861         6    102535         2       200
       865         0      1240         1       200
       869         0      1180         1       200
       873        13    178310         2       200
       877        12      1845         1       200
       881         1      1150         1       200
       889         3      1170         1       200
       885         3    123245         2       200
       893         0      1265         1       200
       897        10    190640         2       200
       901        10      1220         1       200
       905         0      1230         1       200
       909         5     98555         2       200
       913         4      1345         1       200
       917         1      1200         1       200
       925         6      1195         1       200
       921         6    130375         2       200
       929         4     66745         2       200
       933         0      1310         1       200
       937         0      1285         1       200
       941         8    181425         2       200
       949         0      1200         1       200
       945         0      1215         1       200
       953        12    197350         2       200
       961         0      1315         1       200
       957         0      1295         1       200
       965         8    124945         2       200
       969         0      1250         1       200
       973         0      1215         1       200
       977         9    190285         2       200
       981         0      1245         1       200
       985         0      1305         1       200
       989         8    117120         2       200
       993         0      1295         1       200
       997         1      1305         1       200
      1001        12    275575         2       200
      1005         1      1305         1       200
      1009         1      1395         1       200
      1013         3    111690         2       200
      1017         0      1295         1       200
      1021         0      1255         1       200
      1025         7    144230         2       200
      1029         0      1360         1       200
      1033         0      1245         1       200
      1037        12    198975         2       200
      1041         0      1255         1       200
      1045         0      1260         1       200
      1049         7    137295         2       200
      1053         0      1260         1       200
      1057         0      1300         1       200
      1061        13    258725         2       200
      1065         1      1255         1       200
      1069         1      1225         1       200
      1073         6    136740         2       200
      1077         0      1215         1       200
      1081         0      1280         1       200
      1085        11    204445         2       200
      1089         0      1290         1       200
      1093         0      1330         1       200
      1097         5     96440         2       200
      1101         1      1335         1       200
      1105         0      1230         1       200
      1109         4     57725         2       200
      1113         1      1190         1       200
      1117         0      1190         1       200
      1121        11    173960         2       200
      1125         0      1185         1       200
      1129         0      1220         1       200
      1133         3     39710         2       200
      1137         3      1230         1       200
      1141         0      1250         1       200
      1145         7    137330         2       200
      1149         7      1290         1       200
      1153         0      1300         1       200
      1157         3     43730         2       200
      1161         3      1260         1       200
      1165         0      1325         1       200
      1169         6    122160         2       200
      1173         6      1305         1       200
      1177         1      1320         1       200
      1185        12      1290         1       200
      1181        12    282310         2       200
      1189         2     38445         2       200
      1193         0      1280         1       200
      1197         0      1290         1       200
      1201         3     39640         2       200
      1209         1      1255         1       200
      1205         1      1295         1       200
      1213        10    182250         2       200
      1221         1      1300         1       200
      1217         0      1310         1       200
      1225         2     40540         2       200
      1229         0      1305         1       200
      1233         0      1255         1       200
      1237         6    104320         2       200
      1241         1      1290         1       200
      1245         1      1350         1       200
      1249         2     42685         2       200
      1253         1      1340         1       200
      1257         1      1280         1       200
      1261         9    181965         2       200
      1265         0      1270         1       200
      1269         0      1295         1       200
      1273         3     44050         2       200
      1277         1      1215         1       200
      1281         0      1220         1       200
      1285         4     90725         2       200
      1289         0      1245         1       200
      1293         0      1250         1       200
      1297         3     43015         2       200
      1301         0      1255         1       200
      1305         0      1250         1       200
      1309         7    117775         2       200
      1313         0      1255         1       200
      1317         0      1310         1       200
      1321         4     47300         2       200
      1325         0      1275         1       200
      1329         1      1280         1       200
      1333         7     93490         2       200
      1337         0      1305         1       200
      1341         0      1470         1       200
      1345        37   1000000         2       200
      1349         2      1530         1       200
      1353         0      1475         1       200
      1357         1      6940         2       200
      1361         0      1160         1       200
      1365         0      1200         1       200
      1369         0      5895         2       200
      1373         0      1230         1       200
      1377         1      1235         1       200
      1381         8    121240         2       200
      1385         0      1230         1       200
      1389         0      1255         1       200
      1393         1      8620         2       200
      1397         1      1265         1       200
      1401         0      1855         1       200
      1409         9      1105         1       200
      1405         9    144510         2       200
      1413         0      1185         1       200
      1417         1      9965         2       200
      1421         1      1220         1       200
      1425         1      1205         1       200
      1433        11      1235         1       200
      1429        11    180015         2       200
      1437         1      1270         1       200
      1445         0      1200         1       200
      1441         0     10235         2       200
      1449         0      1300         1       200
      1457         9      1265         1       200
      1453         9    122240         2       200
      1461         0     10950         2       200
      1465         0      1240         1       200
      1469         1      1330         1       200
      1473         5     69200         2       200
      1481         0      1280         1       200
      1477         0      1260         1       200
      1485         1     11215         2       200
      1489         0      1275         1       200
      1493         0      1335         1       200
      1497         4     66440         2       200
      1505         0      1295         1       200
      1501         0      1255         1       200
      1509        30   1000000         2       200
      1513         2      1390         1       200
      1517         2      1485         1       200
      1521         1     44625         2       200
      1525         0      1395         1       200
      1529         0      1240         1       200
      1533         0      6895         2       200
      1537         0      1210         1       200
      1541         0      1230         1       200
      1545         9    137795         2       200
      1549         0      1180         1       200
      1553         0      1195         1       200
      1557         1      8225         2       200
      1561         0      1220         1       200
      1565         1      1250         1       200
      1569         7    110655         2       200
      1573         0      1375         1       200
      1577         1      1425         1       200
      1581         0      8410         2       200
      1585         0      1495         1       200
      1589         0      1310         1       200
      1593         4     49900         2       200
      1597         1      1220         1       200
      1601         0      1210         1       200
      1605         1      9815         2       200
      1609         0      1230         1       200
      1613         0      1210         1       200
      1617         8    140975         2       200
      1621         1      1240         1       200
      1625         0      1405         1       200
      1629         1     10135         2       200
      1633         1      1345         1       200
      1637         0      1160         1       200
      1641         4     53425         2       200
      1645         0      1145         1       200
      1649         1      1195         1       200
      1653         1     12565         2       200
      1657         0      1230         1       200
      1661         0      1250         1       200
      1665         9    135465         2       200
      1669         9      1260         1       200
      1673         0      1280         1       200
      1677         1      8735         2       200
      1681         1      1450         1       200
      1685         1      1355         1       200
      1689         3     45795         2       200
      1693         3      1230         1       200
      1697         0      1495         1       200
      1701         1      8760         2       200
