block_id,bct,size,priority,deadline,duration
5,29,1235,1,200,37731
13,31,1435,1,200,65654
17,30,1475,1,200,75731
9,56,288555,2,200,80614
25,30,1210,1,200,106874
21,40,53910,2,200,107636
29,30,1205,1,200,119860
37,32,1195,1,200,152892
33,46,53735,2,200,158632
41,30,1255,1,200,164867
49,31,1625,1,200,196674
53,30,1450,1,200,210596
61,32,1240,1,200,241230
65,32,1250,1,200,256600
73,33,1220,1,200,286325
77,30,1215,1,200,299090
85,30,1195,1,200,326118
57,127,53415,2,200,328896
45,172,171460,2,200,328939
89,29,1195,1,200,342325
97,31,1260,1,200,369043
101,30,1185,1,200,387021
69,156,172580,2,200,402985
109,33,1275,1,200,415087
93,92,52795,2,200,426391
113,29,1235,1,200,430239
121,32,1245,1,200,456033
125,30,1215,1,200,474545
133,35,1355,1,200,503240
145,30,1265,1,200,540592
141,31,1225,1,200,540632
117,132,49390,2,200,554174
153,29,1235,1,200,583266
157,33,1240,1,200,587495
165,30,1265,1,200,625664
169,32,1225,1,200,630177
177,30,1285,1,200,667900
181,31,1275,1,200,672163
189,32,1465,1,200,711603
193,29,1275,1,200,714324
149,188,64775,2,200,721080
173,101,36250,2,200,721262
201,29,1255,1,200,752123
205,30,1315,1,200,759082
213,30,1255,1,200,796314
161,224,244720,2,200,800740
217,30,1475,1,200,802282
185,140,62690,2,200,802757
197,105,78415,2,200,810822
221,42,59105,2,200,834620
225,29,1230,1,200,837006
209,91,168430,2,200,841331
229,30,1240,1,200,844592
237,31,1245,1,200,882530
241,29,1490,1,200,889214
249,30,1245,1,200,924300
253,31,1210,1,200,934033
245,67,37695,2,200,948241
261,30,1215,1,200,966489
265,31,1235,1,200,978213
273,32,1185,1,200,1010950
277,30,1345,1,200,1020716
285,31,1170,1,200,1052693
233,227,226140,2,200,1063452
289,30,1425,1,200,1064170
269,122,80330,2,200,1091139
297,31,1390,1,200,1096207
301,33,1415,1,200,1111144
309,31,1130,1,200,1138598
257,218,71995,2,200,1143316
313,32,1135,1,200,1154190
321,31,1205,1,200,1182066
325,30,1190,1,200,1195545
333,33,1230,1,200,1226855
337,30,1200,1,200,1240834
345,32,1865,1,200,1269819
357,30,1160,1,200,1310754
349,71,1230,1,200,1325818
305,226,101625,2,200,1325853
361,31,1195,1,200,1330856
369,30,1165,1,200,1354071
317,215,61445,2,200,1358598
373,31,1180,1,200,1373777
381,30,1220,1,200,1397266
329,213,123185,2,200,1399493
385,31,1225,1,200,1417000
393,31,1250,1,200,1439456
397,30,1205,1,200,1459724
353,188,23310,2,200,1464994
405,29,1240,1,200,1481139
365,164,44375,2,200,1484942
409,43,45970,2,200,1515716
413,31,1260,1,200,1524388
417,30,1240,1,200,1524991
377,167,120235,2,200,1531702
425,31,1245,1,200,1568221
429,32,1225,1,200,1570910
437,30,1270,1,200,1609919
441,31,1225,1,200,1614116
449,31,1245,1,200,1652656
453,30,1245,1,200,1656860
401,226,59520,2,200,1676834
461,30,1255,1,200,1695645
465,30,1270,1,200,1700619
473,30,1285,1,200,1738602
477,31,1215,1,200,1746074
485,31,1235,1,200,1781545
489,31,1250,1,200,1788587
497,31,1240,1,200,1824817
501,30,1240,1,200,1830755
509,31,1280,1,200,1866602
513,30,1270,1,200,1875046
457,228,153470,2,200,1876639
469,193,51410,2,200,1886194
493,112,51605,2,200,1891481
521,31,1245,1,200,1910042
525,30,1280,1,200,1918484
533,30,1340,1,200,1951740
537,33,1350,1,200,1965451
505,148,215445,2,200,1970707
545,30,1280,1,200,1994752
549,31,1300,1,200,2007696
529,116,195700,2,200,2026539
517,160,33555,2,200,2026780
557,32,1245,1,200,2038647
561,30,1255,1,200,2049473
569,30,1240,1,200,2080171
573,30,1270,1,200,2093407
581,30,1265,1,200,2123175
541,170,45990,2,200,2124839
585,30,1325,1,200,2137366
593,29,1275,1,200,2165319
565,126,15150,2,200,2168081
597,30,1260,1,200,2181819
605,33,1290,1,200,2211571
