block_id,bct,size,priority,deadline,duration
5,35,1235,1,200,50757
13,38,1435,1,200,79653
17,38,1475,1,200,90599
9,74,288555,2,200,104713
25,34,1210,1,200,119358
21,46,53910,2,200,121086
29,35,1205,1,200,132358
37,35,1195,1,200,163050
33,49,53735,2,200,167594
41,35,1255,1,200,176068
49,35,1625,1,200,205803
53,35,1450,1,200,219555
45,58,171460,2,200,221033
61,35,1240,1,200,248079
57,48,53415,2,200,254750
65,35,1250,1,200,264325
73,36,1220,1,200,292577
77,35,1215,1,200,308531
69,60,172580,2,200,311051
85,38,1195,1,200,337483
89,35,1195,1,200,352965
81,77,281425,2,200,371746
97,35,1260,1,200,378477
93,42,52795,2,200,381071
101,35,1185,1,200,396510
109,37,1275,1,200,426202
113,35,1235,1,200,443871
105,73,257340,2,200,456398
117,46,49390,2,200,476700
121,44,1245,1,200,476861
125,35,1215,1,200,487693
133,38,1355,1,200,516927
137,40,45410,2,200,540071
129,66,256815,2,200,540582
145,35,1265,1,200,556626
141,35,1225,1,200,556642
149,42,64775,2,200,585902
153,34,1235,1,200,599353
157,35,1240,1,200,600782
165,35,1265,1,200,643050
169,35,1225,1,200,645280
161,59,244720,2,200,647001
173,37,36250,2,200,669123
177,35,1285,1,200,685558
181,35,1275,1,200,688988
185,46,62690,2,200,722033
189,35,1465,1,200,728984
193,35,1275,1,200,732987
197,48,78415,2,200,768964
201,35,1255,1,200,772693
205,35,1315,1,200,779187
213,35,1255,1,200,815405
209,53,168430,2,200,818987
217,35,1475,1,200,822415
221,44,59105,2,200,852911
225,35,1230,1,200,859150
229,35,1240,1,200,867081
237,36,1245,1,200,903886
241,35,1490,1,200,910638
233,57,226140,2,200,911625
245,38,37695,2,200,935632
249,35,1245,1,200,946128
253,35,1210,1,200,955100
257,43,71995,2,200,985080
261,34,1215,1,200,988335
265,35,1235,1,200,999100
273,35,1185,1,200,1031844
269,48,80330,2,200,1034866
277,35,1345,1,200,1043575
285,35,1170,1,200,1076829
281,54,193685,2,200,1085303
289,35,1425,1,200,1088779
297,34,1390,1,200,1120303
293,48,70615,2,200,1123699
301,35,1415,1,200,1133316
309,35,1130,1,200,1163421
305,54,101625,2,200,1173815
313,35,1135,1,200,1176782
321,35,1205,1,200,1206375
317,47,61445,2,200,1211015
325,35,1190,1,200,1220785
333,35,1230,1,200,1249947
329,48,123185,2,200,1256148
337,35,1200,1,200,1266452
345,35,1865,1,200,1295202
341,55,198880,2,200,1308772
349,34,1230,1,200,1311183
353,37,23310,2,200,1334381
357,35,1160,1,200,1337464
361,35,1195,1,200,1356029
369,38,1165,1,200,1384021
365,44,44375,2,200,1386885
373,35,1180,1,200,1400160
381,38,1220,1,200,1429125
377,51,120235,2,200,1439129
385,34,1225,1,200,1445013
393,37,1250,1,200,1473571
397,37,1205,1,200,1494494
389,68,244295,2,200,1499981
405,38,1240,1,200,1520749
401,48,59520,2,200,1528096
409,48,45970,2,200,1552723
413,35,1260,1,200,1561053
417,35,1240,1,200,1562237
421,54,119260,2,200,1603054
425,34,1245,1,200,1603170
429,35,1225,1,200,1605672
437,35,1270,1,200,1646729
441,37,1225,1,200,1651700
433,71,212415,2,200,1663700
445,43,52720,2,200,1680162
449,35,1245,1,200,1689929
453,35,1245,1,200,1695192
461,35,1255,1,200,1732978
457,53,153470,2,200,1734146
465,35,1270,1,200,1737969
473,35,1285,1,200,1777364
477,35,1215,1,200,1782900
469,58,51410,2,200,1783590
485,35,1235,1,200,1820253
489,35,1250,1,200,1826982
481,60,218055,2,200,1830545
493,39,51605,2,200,1852469
497,35,1240,1,200,1864068
501,35,1240,1,200,1872059
509,35,1280,1,200,1907776
513,35,1270,1,200,1916995
505,60,215445,2,200,1920079
517,45,33555,2,200,1948503
521,35,1245,1,200,1950799
525,35,1280,1,200,1961248
533,35,1340,1,200,1995251
537,35,1350,1,200,2005989
529,70,195700,2,200,2017719
541,41,45990,2,200,2033741
545,35,1280,1,200,2037836
549,35,1300,1,200,2049968
557,35,1245,1,200,2080455
561,36,1255,1,200,2093407
565,37,15150,2,200,2117146
569,35,1240,1,200,2122667
573,36,1270,1,200,2136659
581,37,1265,1,200,2166650
553,141,668915,2,200,2177638
585,38,1325,1,200,2182884
577,61,135175,2,200,2183690
589,37,22770,2,200,2203932
593,35,1275,1,200,2208616
597,35,1260,1,200,2224621
605,36,1290,1,200,2252922
601,55,143145,2,200,2266903
609,35,1230,1,200,2268595
617,35,1255,1,200,2295126
613,43,33120,2,200,2298616
621,35,1375,1,200,2313072
629,38,1410,1,200,2341069
633,35,1290,1,200,2356529
625,57,151945,2,200,2357302
637,36,24745,2,200,2379911
641,35,1240,1,200,2380778
645,35,1245,1,200,2400571
653,38,1295,1,200,2428804
649,53,113365,2,200,2439763
657,35,1310,1,200,2446563
665,35,1270,1,200,2470238
661,36,22075,2,200,2470298
673,35,1250,1,200,2512977
677,35,1255,1,200,2513976
669,60,120260,2,200,2516486
681,38,18405,2,200,2538465
685,35,1300,1,200,2557029
689,35,1320,1,200,2559493
697,35,1275,1,200,2600754
701,36,1480,1,200,2604592
693,66,175755,2,200,2612464
705,36,17820,2,200,2626891
709,36,1405,1,200,2644650
713,35,1275,1,200,2648979
721,35,1315,1,200,2687731
717,54,145750,2,200,2690242
725,35,1235,1,200,2692946
729,36,26360,2,200,2715892
