block_id,bct,size,priority,deadline,duration
5,31,1235,1,200,34179
13,33,1435,1,200,61664
17,33,1475,1,200,74084
9,59,288555,2,200,76711
21,43,53910,2,200,105884
25,33,1210,1,200,106127
29,33,1205,1,200,118967
33,40,53735,2,200,148333
37,33,1195,1,200,148862
41,33,1255,1,200,163155
49,39,1625,1,200,199114
53,33,1450,1,200,207092
45,71,171460,2,200,223038
61,37,1240,1,200,239960
57,55,53415,2,200,250778
65,34,1250,1,200,251508
73,34,1220,1,200,279529
77,33,1215,1,200,296323
85,35,1195,1,200,324588
89,33,1195,1,200,340331
97,35,1260,1,200,366794
101,34,1185,1,200,384166
69,155,172580,2,200,395567
109,34,1275,1,200,409418
113,33,1235,1,200,427415
121,33,1245,1,200,452187
93,132,52795,2,200,460156
125,34,1215,1,200,473510
133,34,1355,1,200,495677
81,222,281425,2,200,506696
137,50,45410,2,200,532458
145,33,1265,1,200,537654
149,48,64775,2,200,573451
157,34,1240,1,200,581622
105,220,257340,2,200,592183
153,53,1235,1,200,598415
117,182,49390,2,200,598449
165,33,1265,1,200,622402
169,33,1225,1,200,625469
141,122,1225,1,200,625501
173,43,36250,2,200,655595
177,33,1285,1,200,664864
181,34,1275,1,200,668589
189,33,1465,1,200,706825
193,33,1275,1,200,711067
161,163,244720,2,200,732036
197,45,78415,2,200,745272
185,90,62690,2,200,745520
201,33,1255,1,200,750017
205,34,1315,1,200,755518
213,34,1255,1,200,794749
217,34,1475,1,200,800707
225,35,1230,1,200,838736
229,34,1240,1,200,844633
221,72,59105,2,200,860446
237,33,1245,1,200,880014
241,33,1490,1,200,887966
209,161,168430,2,200,905453
249,34,1245,1,200,923953
245,48,37695,2,200,924443
253,34,1210,1,200,931475
261,34,1215,1,200,965701
265,34,1235,1,200,975431
257,61,71995,2,200,980865
273,37,1185,1,200,1010617
277,34,1345,1,200,1020136
233,189,226140,2,200,1022127
269,66,80330,2,200,1030341
285,34,1170,1,200,1051390
289,33,1425,1,200,1063105
297,37,1390,1,200,1096814
301,35,1415,1,200,1108356
309,34,1130,1,200,1137566
313,35,1135,1,200,1152533
281,146,193685,2,200,1153088
321,34,1205,1,200,1180778
293,133,70615,2,200,1183794
325,33,1190,1,200,1195318
305,104,101625,2,200,1198555
317,66,61445,2,200,1205293
333,34,1230,1,200,1223782
337,35,1200,1,200,1240531
345,34,1865,1,200,1267753
329,90,123185,2,200,1274285
349,33,1230,1,200,1284250
357,34,1160,1,200,1310744
353,45,23310,2,200,1316992
361,34,1195,1,200,1327696
369,33,1165,1,200,1351951
373,34,1180,1,200,1371935
365,57,44375,2,200,1372690
341,152,198880,2,200,1380651
381,37,1220,1,200,1398454
385,33,1225,1,200,1414944
393,34,1250,1,200,1438679
397,34,1205,1,200,1460186
405,33,1240,1,200,1482182
413,34,1260,1,200,1524459
417,39,1240,1,200,1530676
377,177,120235,2,200,1536385
429,34,1225,1,200,1569353
437,33,1270,1,200,1609352
441,34,1225,1,200,1613990
449,34,1245,1,200,1652632
453,33,1245,1,200,1657116
401,213,59520,2,200,1662120
409,197,45970,2,200,1667347
425,134,1245,1,200,1667793
461,37,1255,1,200,1699626
465,43,1270,1,200,1710800
473,37,1285,1,200,1743330
421,230,119260,2,200,1743849
477,36,1215,1,200,1748534
485,35,1235,1,200,1785262
445,190,52720,2,200,1791282
489,33,1250,1,200,1791307
497,44,1240,1,200,1837765
509,33,1280,1,200,1870016
513,34,1270,1,200,1880233
469,204,51410,2,200,1894930
501,94,1240,1,200,1895666
521,35,1245,1,200,1914443
525,35,1280,1,200,1925212
533,33,1340,1,200,1956204
537,34,1350,1,200,1967417
493,195,51605,2,200,1974185
545,33,1280,1,200,2000166
549,34,1300,1,200,2011380
517,176,33555,2,200,2042429
557,34,1245,1,200,2042474
569,33,1240,1,200,2086086
561,71,1255,1,200,2092615
573,37,1270,1,200,2103118
581,33,1265,1,200,2129300
541,185,45990,2,200,2141056
593,33,1275,1,200,2171796
597,33,1260,1,200,2187313
605,35,1290,1,200,2216267
609,33,1230,1,200,2231313
565,191,15150,2,200,2235055
585,125,1325,1,200,2236289
617,35,1255,1,200,2258507
621,33,1375,1,200,2275257
629,36,1410,1,200,2303210
589,177,22770,2,200,2308470
577,226,135175,2,200,2314535
633,34,1290,1,200,2319013
613,100,33120,2,200,2319985
641,33,1240,1,200,2342716
601,176,143145,2,200,2351966
645,33,1245,1,200,2362212
625,119,151945,2,200,2382697
653,34,1295,1,200,2385698
637,80,24745,2,200,2386456
657,34,1310,1,200,2406188
649,61,113365,2,200,2412283
661,35,22075,2,200,2429494
665,34,1270,1,200,2429642
673,33,1250,1,200,2472392
677,33,1255,1,200,2473141
669,63,120260,2,200,2480577
681,39,18405,2,200,2501136
685,34,1300,1,200,2515699
689,33,1320,1,200,2518162
701,33,1480,1,200,2563116
705,48,17820,2,200,2599091
697,74,1275,1,200,2600103
709,35,1405,1,200,2604378
713,36,1275,1,200,2609637
721,34,1315,1,200,2647345
725,33,1235,1,200,2651070
729,39,26360,2,200,2679075
733,34,1270,1,200,2690358
737,34,1280,1,200,2695590
717,101,145750,2,200,2696549
693,205,175755,2,200,2711782
745,34,1385,1,200,2733053
749,38,1295,1,200,2743782
753,43,15605,2,200,2770784
757,34,1295,1,200,2776279
761,35,1300,1,200,2784488
741,101,114425,2,200,2784724
769,36,1310,1,200,2819454
773,34,1400,1,200,2826523
765,60,76825,2,200,2830994
781,33,1415,1,200,2860736
785,34,1255,1,200,2870678
793,33,1255,1,200,2903186
789,53,79570,2,200,2911686
797,34,1245,1,200,2913661
805,33,1210,1,200,2945193
801,53,72735,2,200,2955172
809,35,1210,1,200,2958171
817,36,1215,1,200,2991396
821,35,1945,1,200,3002848
829,34,1460,1,200,3032342
833,33,1160,1,200,3045128
813,120,175895,2,200,3065587
841,34,1180,1,200,3076218
845,36,1175,1,200,3091840
853,34,1300,1,200,3118856
857,33,1250,1,200,3133856
865,34,1240,1,200,3161801
869,33,1180,1,200,3177613
825,188,166310,2,200,3177829
837,149,72440,2,200,3183062
877,33,1845,1,200,3203319
881,34,1150,1,200,3222304
861,111,102535,2,200,3234028
889,34,1170,1,200,3248548
893,33,1265,1,200,3266024
901,34,1220,1,200,3291951
849,219,183075,2,200,3297018
905,36,1230,1,200,3312751
913,33,1345,1,200,3334003
873,174,178310,2,200,3340279
917,34,1200,1,200,3354697
885,164,123245,2,200,3373706
925,35,1195,1,200,3377945
937,35,1285,1,200,3422169
949,34,1200,1,200,3465925
933,124,1310,1,200,3510135
961,34,1315,1,200,3510163
969,34,1250,1,200,3549441
973,36,1215,1,200,3555393
981,33,1245,1,200,3593368
929,230,66745,2,200,3593574
945,165,1215,1,200,3593799
985,35,1305,1,200,3598685
957,165,1295,1,200,3638078
993,35,1295,1,200,3638123
997,36,1305,1,200,3643801
1005,36,1305,1,200,3682049
1009,35,1395,1,200,3687395
1017,35,1295,1,200,3725307
1021,33,1255,1,200,3730277
1029,37,1360,1,200,3769748
1041,33,1255,1,200,3809215
1045,41,1260,1,200,3826254
1053,34,1260,1,200,3852710
1065,35,1255,1,200,3896442
1033,155,1245,1,200,3896672
1069,34,1225,1,200,3907709
1077,33,1215,1,200,3939150
1081,34,1280,1,200,3951729
1089,34,1290,1,200,3981374
1057,155,1300,1,200,3983397
1093,34,1330,1,200,3995855
1101,34,1335,1,200,4024931
1105,35,1230,1,200,4039398
1113,33,1190,1,200,4067100
1117,33,1190,1,200,4082110
1073,192,136740,2,200,4087852
1125,34,1185,1,200,4109536
1129,34,1220,1,200,4125556
1085,212,204445,2,200,4152077
1137,33,1230,1,200,4152109
1141,33,1250,1,200,4168554
1097,196,96440,2,200,4179552
1109,163,57725,2,200,4190008
1149,34,1290,1,200,4195094
1153,33,1300,1,200,4213346
1161,34,1260,1,200,4238568
1165,34,1325,1,200,4257519
1121,204,173960,2,200,4273440
1173,34,1305,1,200,4281990
1133,186,39710,2,200,4299760
1177,35,1320,1,200,4303288
1185,33,1290,1,200,4325237
1197,34,1290,1,200,4369712
1157,201,43730,2,200,4403395
1209,35,1255,1,200,4414655
1217,34,1310,1,200,4454656
1233,35,1255,1,200,4501869
1241,35,1290,1,200,4540603
1245,35,1350,1,200,4546380
1193,213,1280,1,200,4546401
1253,35,1340,1,200,4584553
1205,208,1295,1,200,4586835
1257,33,1280,1,200,4589293
1221,171,1300,1,200,4595080
1265,34,1270,1,200,4626833
1269,34,1295,1,200,4632562
1229,172,1305,1,200,4635778
1225,190,40540,2,200,4636039
1249,110,42685,2,200,4642808
1273,44,44050,2,200,4664569
1277,34,1215,1,200,4668517
1281,33,1220,1,200,4675272
1237,201,104320,2,200,4690006
1289,38,1245,1,200,4715720
1293,35,1250,1,200,4721514
1285,63,90725,2,200,4727529
1301,33,1255,1,200,4756037
1297,51,43015,2,200,4761271
