block_id,bct,size,priority,deadline,duration
5,34,1235,1,200,52908
13,33,1435,1,200,78074
17,34,1475,1,200,90359
9,63,288555,2,200,97433
21,39,53910,2,200,117242
25,34,1210,1,200,121815
29,34,1205,1,200,134389
33,36,53735,2,200,158075
37,33,1195,1,200,164546
41,34,1255,1,200,178048
49,34,1625,1,200,207783
45,49,171460,2,200,213879
53,34,1450,1,200,221288
61,34,1240,1,200,250560
57,47,53415,2,200,257083
65,34,1250,1,200,265994
73,34,1220,1,200,294225
77,34,1215,1,200,310216
69,57,172580,2,200,311204
85,35,1195,1,200,339205
89,34,1195,1,200,355738
81,64,281425,2,200,362519
97,34,1260,1,200,380955
93,40,52795,2,200,383462
101,34,1185,1,200,398911
109,37,1275,1,200,427919
113,36,1235,1,200,446660
105,86,257340,2,200,473173
121,38,1245,1,200,473422
117,45,49390,2,200,477749
125,33,1215,1,200,489364
133,38,1355,1,200,518904
137,42,45410,2,200,543868
129,72,256815,2,200,549378
141,34,1225,1,200,557836
145,34,1265,1,200,559089
149,51,64775,2,200,598131
153,33,1235,1,200,601630
157,34,1240,1,200,602885
165,34,1265,1,200,644302
169,34,1225,1,200,646868
161,83,244720,2,200,674127
173,41,36250,2,200,675143
177,34,1285,1,200,687044
181,34,1275,1,200,690261
185,43,62690,2,200,721568
189,34,1465,1,200,729982
193,34,1275,1,200,734034
197,46,78415,2,200,768567
201,34,1255,1,200,773024
205,34,1315,1,200,778986
213,34,1255,1,200,815958
209,54,168430,2,200,821676
217,33,1475,1,200,822734
221,41,59105,2,200,852573
225,34,1230,1,200,860196
229,33,1240,1,200,867594
237,34,1245,1,200,903220
241,34,1490,1,200,911582
233,84,226140,2,200,939227
245,40,37695,2,200,939246
249,33,1245,1,200,946417
253,34,1210,1,200,956379
261,34,1215,1,200,990173
257,46,71995,2,200,990401
265,33,1235,1,200,1000436
273,33,1185,1,200,1033602
269,46,80330,2,200,1035623
277,34,1345,1,200,1045173
285,35,1170,1,200,1077957
281,54,193685,2,200,1088045
289,34,1425,1,200,1089078
297,34,1390,1,200,1120827
293,47,70615,2,200,1123880
301,34,1415,1,200,1134333
309,34,1130,1,200,1164788
305,49,101625,2,200,1171266
313,34,1135,1,200,1178148
317,38,61445,2,200,1205069
321,33,1205,1,200,1207773
325,34,1190,1,200,1223293
333,33,1230,1,200,1250787
329,48,123185,2,200,1259797
337,34,1200,1,200,1267267
345,34,1865,1,200,1295520
341,56,198880,2,200,1311000
349,33,1230,1,200,1311524
353,35,23310,2,200,1335761
357,33,1160,1,200,1337725
361,34,1195,1,200,1355255
369,36,1165,1,200,1383781
365,42,44375,2,200,1386197
373,34,1180,1,200,1399931
381,36,1220,1,200,1428515
377,54,120235,2,200,1442435
385,33,1225,1,200,1445413
393,36,1250,1,200,1473447
389,65,244295,2,200,1498043
397,40,1205,1,200,1498095
405,38,1240,1,200,1520619
401,47,59520,2,200,1527592
409,42,45970,2,200,1546410
413,34,1260,1,200,1558665
417,34,1240,1,200,1559870
421,52,119260,2,200,1600520
425,34,1245,1,200,1601844
429,34,1225,1,200,1604209
437,34,1270,1,200,1645359
441,35,1225,1,200,1649341
433,63,212415,2,200,1655272
445,44,52720,2,200,1681520
449,34,1245,1,200,1689387
453,34,1245,1,200,1694608
461,34,1255,1,200,1733026
457,53,153470,2,200,1734824
465,34,1270,1,200,1738014
469,43,51410,2,200,1768817
473,34,1285,1,200,1777085
477,33,1215,1,200,1783766
485,34,1235,1,200,1820083
489,34,1250,1,200,1827001
481,63,218055,2,200,1834480
493,40,51605,2,200,1855510
497,34,1240,1,200,1863199
501,33,1240,1,200,1870695
509,34,1280,1,200,1905699
513,35,1270,1,200,1915189
505,59,215445,2,200,1916904
517,40,33555,2,200,1943429
521,34,1245,1,200,1948661
525,34,1280,1,200,1959181
533,35,1340,1,200,1993654
537,36,1350,1,200,2005418
529,65,195700,2,200,2011854
545,33,1280,1,200,2035804
541,50,45990,2,200,2041220
549,34,1300,1,200,2048215
557,35,1245,1,200,2079972
561,34,1255,1,200,2092399
565,35,15150,2,200,2115597
569,34,1240,1,200,2122073
573,34,1270,1,200,2136228
581,35,1265,1,200,2165083
577,53,135175,2,200,2176782
585,34,1325,1,200,2179281
553,146,668915,2,200,2182556
589,36,22770,2,200,2203110
593,34,1275,1,200,2207549
597,34,1260,1,200,2223048
605,36,1290,1,200,2251813
609,34,1230,1,200,2267539
601,62,143145,2,200,2273361
617,34,1255,1,200,2294481
613,44,33120,2,200,2300005
621,34,1375,1,200,2311988
629,36,1410,1,200,2340770
633,33,1290,1,200,2356717
625,61,151945,2,200,2361498
641,34,1240,1,200,2381188
637,43,24745,2,200,2387928
645,34,1245,1,200,2401221
653,37,1295,1,200,2429224
