block_id,bct,size,priority,deadline,duration
5,29,1235,1,200,35742
13,30,1435,1,200,62361
9,52,288555,2,200,73804
17,30,1475,1,200,75137
25,30,1210,1,200,106638
29,31,1205,1,200,119856
21,58,53910,2,200,124553
37,33,1195,1,200,153345
33,51,53735,2,200,162625
41,30,1255,1,200,164853
49,32,1625,1,200,197581
53,37,1450,1,200,217383
61,32,1240,1,200,240595
65,32,1250,1,200,255793
73,33,1220,1,200,284289
77,31,1215,1,200,298527
85,32,1195,1,200,326540
57,125,53415,2,200,326577
89,34,1195,1,200,345230
97,32,1260,1,200,370014
101,31,1185,1,200,385960
109,36,1275,1,200,415951
113,30,1235,1,200,429207
121,30,1245,1,200,452966
125,32,1215,1,200,473686
133,31,1355,1,200,495370
145,32,1265,1,200,540209
157,39,1240,1,200,590387
165,31,1265,1,200,625141
169,31,1225,1,200,626685
141,161,1225,1,200,668108
177,31,1285,1,200,668164
181,31,1275,1,200,671639
189,33,1465,1,200,712396
153,167,1235,1,200,717334
149,204,64775,2,200,733786
201,31,1255,1,200,753576
205,30,1315,1,200,759176
213,34,1255,1,200,801104
193,127,1275,1,200,811466
173,194,36250,2,200,811497
225,32,1230,1,200,841559
217,69,1475,1,200,842289
185,180,62690,2,200,842325
229,33,1240,1,200,850691
237,33,1245,1,200,885294
197,179,78415,2,200,886188
241,35,1490,1,200,895434
249,31,1245,1,200,926447
253,31,1210,1,200,936250
261,33,1215,1,200,972164
273,31,1185,1,200,1013618
221,224,59105,2,200,1018638
277,31,1345,1,200,1023640
285,31,1170,1,200,1055624
289,32,1425,1,200,1068818
245,196,37695,2,200,1078863
265,129,1235,1,200,1078882
297,31,1390,1,200,1097812
301,30,1415,1,200,1110843
257,202,71995,2,200,1128356
309,32,1130,1,200,1143327
313,32,1135,1,200,1157310
269,188,80330,2,200,1159291
321,33,1205,1,200,1189056
325,32,1190,1,200,1202827
333,31,1230,1,200,1228606
337,35,1200,1,200,1248320
293,195,70615,2,200,1253384
345,31,1865,1,200,1271804
349,33,1230,1,200,1290578
357,32,1160,1,200,1316477
305,228,101625,2,200,1330964
361,33,1195,1,200,1335461
317,198,61445,2,200,1345473
369,34,1165,1,200,1361211
373,37,1180,1,200,1383973
381,31,1220,1,200,1402677
385,31,1225,1,200,1421707
393,31,1250,1,200,1444671
353,198,23310,2,200,1477412
405,31,1240,1,200,1487390
397,61,1205,1,200,1495401
365,177,44375,2,200,1500640
413,30,1260,1,200,1528895
417,33,1240,1,200,1532892
429,31,1225,1,200,1574360
437,31,1270,1,200,1615368
441,31,1225,1,200,1620114
449,31,1245,1,200,1658321
453,31,1245,1,200,1662557
461,32,1255,1,200,1702035
465,31,1270,1,200,1706784
425,173,1245,1,200,1713285
473,34,1285,1,200,1746512
477,31,1215,1,200,1751045
445,147,52720,2,200,1756834
485,30,1235,1,200,1786757
489,32,1250,1,200,1795332
497,31,1240,1,200,1829384
501,31,1240,1,200,1837575
457,199,153470,2,200,1853060
509,31,1280,1,200,1872788
513,31,1270,1,200,1881760
469,191,51410,2,200,1887599
493,117,51605,2,200,1901504
521,31,1245,1,200,1915450
525,31,1280,1,200,1925520
533,32,1340,1,200,1959755
537,31,1350,1,200,1969699
545,33,1280,1,200,2003479
549,32,1300,1,200,2014432
557,31,1245,1,200,2043941
561,31,1255,1,200,2056852
517,198,33555,2,200,2070600
569,31,1240,1,200,2086646
573,31,1270,1,200,2100873
581,31,1265,1,200,2129827
585,31,1325,1,200,2145073
541,186,45990,2,200,2146797
593,32,1275,1,200,2173289
597,31,1260,1,200,2187273
605,31,1290,1,200,2215021
565,168,15150,2,200,2215534
609,32,1230,1,200,2233559
617,31,1255,1,200,2257572
621,32,1375,1,200,2276800
589,167,22770,2,200,2301593
629,37,1410,1,200,2306491
633,30,1290,1,200,2319012
613,117,33120,2,200,2339715
641,40,1240,1,200,2352255
645,31,1245,1,200,2363766
653,32,1295,1,200,2387464
657,34,1310,1,200,2410802
665,30,1270,1,200,2429924
677,34,1255,1,200,2476952
681,46,18405,2,200,2509843
685,31,1300,1,200,2514613
689,31,1320,1,200,2517974
637,219,24745,2,200,2528444
697,32,1275,1,200,2561147
673,119,1250,1,200,2561202
701,35,1480,1,200,2567169
705,38,17820,2,200,2590897
661,198,22075,2,200,2596588
709,31,1405,1,200,2601759
713,31,1275,1,200,2605721
721,31,1315,1,200,2644699
725,31,1235,1,200,2648474
729,40,26360,2,200,2679500
733,32,1270,1,200,2687456
737,31,1280,1,200,2691546
717,112,145750,2,200,2708452
693,203,175755,2,200,2711265
745,31,1385,1,200,2729453
749,31,1295,1,200,2735722
741,63,114425,2,200,2745516
757,31,1295,1,200,2772220
753,49,15605,2,200,2776704
761,31,1300,1,200,2780672
769,33,1310,1,200,2819231
773,31,1400,1,200,2824922
765,71,76825,2,200,2843130
781,35,1415,1,200,2863022
785,31,1255,1,200,2867709
793,30,1255,1,200,2902116
797,31,1245,1,200,2912639
805,31,1210,1,200,2944320
809,32,1210,1,200,2957886
817,33,1215,1,200,2988860
821,34,1945,1,200,3002558
829,32,1460,1,200,3030833
833,32,1160,1,200,3044567
789,190,79570,2,200,3050109
