block_id,bct,size,priority,deadline,duration
5,33,1235,1,200,36380
13,35,1435,1,200,63239
9,57,288555,2,200,75188
17,35,1475,1,200,75213
21,44,53910,2,200,106199
25,35,1210,1,200,106693
29,35,1205,1,200,119238
37,34,1195,1,200,149671
33,49,53735,2,200,155944
41,35,1255,1,200,163421
49,35,1625,1,200,193186
45,49,171460,2,200,199734
53,34,1450,1,200,206908
61,34,1240,1,200,236066
57,46,53415,2,200,240395
65,34,1250,1,200,251919
73,36,1220,1,200,280393
77,34,1215,1,200,295843
69,61,172580,2,200,300889
85,36,1195,1,200,324572
89,38,1195,1,200,343898
81,77,281425,2,200,360656
97,36,1260,1,200,369105
93,41,52795,2,200,369311
101,35,1185,1,200,385588
109,37,1275,1,200,415299
113,36,1235,1,200,433259
105,74,257340,2,200,447788
121,37,1245,1,200,459779
117,41,49390,2,200,460776
125,35,1215,1,200,477507
133,36,1355,1,200,506546
137,42,45410,2,200,532686
129,76,256815,2,200,540225
141,34,1225,1,200,547035
145,34,1265,1,200,548087
149,50,64775,2,200,585741
153,35,1235,1,200,591220
157,35,1240,1,200,592532
165,35,1265,1,200,634199
169,35,1225,1,200,638249
161,65,244720,2,200,645671
173,44,36250,2,200,669940
177,35,1285,1,200,679727
181,34,1275,1,200,682915
185,48,62690,2,200,717123
189,35,1465,1,200,722398
193,35,1275,1,200,727136
197,48,78415,2,200,762214
201,35,1255,1,200,765625
205,34,1315,1,200,770877
213,35,1255,1,200,808649
217,35,1475,1,200,815623
209,63,168430,2,200,821360
221,47,59105,2,200,850096
225,34,1230,1,200,851885
229,35,1240,1,200,859739
237,34,1245,1,200,894605
241,36,1490,1,200,905056
233,67,226140,2,200,913826
245,37,37695,2,200,927852
249,34,1245,1,200,938115
253,34,1210,1,200,947116
261,34,1215,1,200,981018
257,48,71995,2,200,983010
265,35,1235,1,200,991529
273,35,1185,1,200,1024503
269,51,80330,2,200,1029806
277,34,1345,1,200,1036008
285,36,1170,1,200,1069512
289,36,1425,1,200,1080499
281,62,193685,2,200,1085501
297,35,1390,1,200,1110475
293,48,70615,2,200,1114959
301,34,1415,1,200,1124058
309,35,1130,1,200,1154796
305,47,101625,2,200,1158916
313,34,1135,1,200,1168734
321,35,1205,1,200,1197429
317,46,61445,2,200,1201916
325,35,1190,1,200,1212411
333,35,1230,1,200,1240596
329,51,123185,2,200,1250582
337,35,1200,1,200,1256649
345,35,1865,1,200,1286105
341,55,198880,2,200,1299550
349,34,1230,1,200,1301325
353,36,23310,2,200,1324927
357,34,1160,1,200,1328049
361,35,1195,1,200,1346328
369,35,1165,1,200,1372274
365,44,44375,2,200,1377786
373,35,1180,1,200,1391316
381,37,1220,1,200,1419331
377,48,120235,2,200,1426483
385,34,1225,1,200,1436504
393,43,1250,1,200,1472993
389,60,244295,2,200,1484968
397,35,1205,1,200,1485241
405,37,1240,1,200,1513564
401,42,59520,2,200,1514719
409,44,45970,2,200,1542500
413,35,1260,1,200,1554207
417,35,1240,1,200,1555940
421,53,119260,2,200,1596394
425,35,1245,1,200,1598652
429,34,1225,1,200,1600888
441,35,1225,1,200,1645153
437,41,1270,1,200,1647138
433,59,212415,2,200,1647536
445,42,52720,2,200,1675670
449,34,1245,1,200,1685643
453,35,1245,1,200,1690832
457,50,153470,2,200,1727256
461,35,1255,1,200,1729575
465,34,1270,1,200,1734073
469,49,51410,2,200,1771095
473,35,1285,1,200,1772826
477,35,1215,1,200,1778346
485,35,1235,1,200,1814605
489,35,1250,1,200,1821976
493,42,51605,2,200,1851068
481,90,218055,2,200,1855522
497,35,1240,1,200,1858296
501,35,1240,1,200,1866524
509,35,1280,1,200,1901559
513,35,1270,1,200,1912070
505,75,215445,2,200,1929008
517,36,33555,2,200,1934239
521,35,1245,1,200,1945509
525,35,1280,1,200,1955267
533,35,1340,1,200,1988298
537,35,1350,1,200,1998490
529,63,195700,2,200,2005234
545,34,1280,1,200,2031962
541,47,45990,2,200,2033459
549,35,1300,1,200,2044697
557,40,1245,1,200,2082255
561,37,1255,1,200,2091460
565,37,15150,2,200,2113646
569,35,1240,1,200,2119399
553,106,668915,2,200,2137953
573,40,1270,1,200,2137993
581,35,1265,1,200,2162962
577,53,135175,2,200,2173892
585,35,1325,1,200,2177466
589,37,22770,2,200,2201446
597,34,1260,1,200,2222134
593,56,1275,1,200,2227600
605,36,1290,1,200,2250400
609,34,1230,1,200,2265843
601,60,143145,2,200,2268817
613,37,33120,2,200,2290723
617,34,1255,1,200,2293078
621,35,1375,1,200,2310780
629,37,1410,1,200,2339070
625,56,151945,2,200,2353748
633,34,1290,1,200,2355062
641,35,1240,1,200,2379839
637,37,24745,2,200,2379888
645,35,1245,1,200,2399297
653,37,1295,1,200,2427228
649,49,113365,2,200,2435513
657,35,1310,1,200,2446736
665,35,1270,1,200,2471222
661,42,22075,2,200,2476192
669,49,120260,2,200,2507437
673,35,1250,1,200,2514177
677,35,1255,1,200,2515443
681,36,18405,2,200,2538871
685,35,1300,1,200,2558240
689,63,1320,1,200,2588617
697,35,1275,1,200,2601369
693,57,175755,2,200,2604697
701,40,1480,1,200,2609127
705,36,17820,2,200,2628066
709,34,1405,1,200,2645088
713,35,1275,1,200,2649583
721,34,1315,1,200,2687812
717,53,145750,2,200,2689868
725,35,1235,1,200,2692604
733,35,1270,1,200,2731342
729,56,26360,2,200,2736353
737,34,1280,1,200,2736846
745,35,1385,1,200,2774289
741,55,114425,2,200,2779318
749,35,1295,1,200,2781322
753,36,15605,2,200,2804766
757,35,1295,1,200,2818314
761,35,1300,1,200,2826479
769,34,1310,1,200,2861101
765,47,76825,2,200,2861211
773,35,1400,1,200,2870270
781,35,1415,1,200,2904515
785,35,1255,1,200,2914044
777,71,309655,2,200,2928334
793,35,1255,1,200,2947473
789,48,79570,2,200,2950003
797,34,1245,1,200,2958032
805,35,1210,1,200,2990498
801,45,72735,2,200,2990562
809,35,1210,1,200,3003036
817,41,1215,1,200,3040955
821,35,1945,1,200,3046476
813,57,175895,2,200,3047164
829,35,1460,1,200,3077391
825,54,166310,2,200,3087176
833,35,1160,1,200,3090125
841,35,1180,1,200,3119363
837,46,72440,2,200,3124089
845,34,1175,1,200,3134847
853,35,1300,1,200,3165970
849,54,183075,2,200,3177037
857,35,1250,1,200,3181592
