block_id,bct,size,priority,deadline,duration
5,30,1235,1,200,38670
13,30,1435,1,200,65865
9,47,288555,2,200,71802
17,31,1475,1,200,78371
21,34,53910,2,200,103507
25,31,1210,1,200,110742
29,31,1205,1,200,123734
33,35,53735,2,200,149279
37,32,1195,1,200,155243
41,31,1255,1,200,168218
49,31,1625,1,200,198914
45,40,171460,2,200,199660
53,31,1450,1,200,213510
57,34,53415,2,200,238704
61,30,1240,1,200,241752
65,31,1250,1,200,257948
69,41,172580,2,200,289677
73,31,1220,1,200,289904
77,30,1215,1,200,305966
85,32,1195,1,200,340007
81,43,281425,2,200,340155
89,31,1195,1,200,357138
97,31,1260,1,200,383600
93,35,52795,2,200,383693
101,31,1185,1,200,402331
109,31,1275,1,200,430089
105,47,257340,2,200,439826
113,31,1235,1,200,449808
117,34,49390,2,200,474287
121,31,1245,1,200,474617
125,32,1215,1,200,495334
133,31,1355,1,200,524302
129,48,256815,2,200,533199
137,35,45410,2,200,549032
145,31,1265,1,200,568309
141,32,1225,1,200,568335
149,36,64775,2,200,595239
153,32,1235,1,200,612034
157,31,1240,1,200,613475
161,48,244720,2,200,651955
165,32,1265,1,200,655039
169,30,1225,1,200,657243
173,32,36250,2,200,681473
177,31,1285,1,200,699941
181,31,1275,1,200,702942
185,35,62690,2,200,729400
189,32,1465,1,200,744467
193,31,1275,1,200,748168
197,37,78415,2,200,776172
201,31,1255,1,200,787660
205,31,1315,1,200,793471
209,41,168430,2,200,824705
213,31,1255,1,200,830932
217,31,1475,1,200,837656
221,35,59105,2,200,862336
225,31,1230,1,200,873610
229,31,1240,1,200,881524
237,31,1245,1,200,916346
233,45,226140,2,200,916399
241,31,1490,1,200,924859
245,33,37695,2,200,948424
249,30,1245,1,200,959832
253,31,1210,1,200,969388
257,36,71995,2,200,995532
261,31,1215,1,200,1002567
265,31,1235,1,200,1012562
269,36,80330,2,200,1039877
273,31,1185,1,200,1045545
277,31,1345,1,200,1056578
285,31,1170,1,200,1089266
281,44,193685,2,200,1091793
289,32,1425,1,200,1102580
