block_id,bct,size,priority,deadline,duration
5,34,1235,1,200,47844
13,36,1435,1,200,76019
17,35,1475,1,200,86250
9,61,288555,2,200,90702
21,38,53910,2,200,111739
25,34,1210,1,200,117731
29,33,1205,1,200,129771
33,37,53735,2,200,155949
37,34,1195,1,200,161196
41,34,1255,1,200,174990
45,43,171460,2,200,205925
49,36,1625,1,200,206177
53,34,1450,1,200,218506
57,39,53415,2,200,245166
61,33,1240,1,200,246946
65,34,1250,1,200,262897
73,34,1220,1,200,295410
69,45,172580,2,200,295701
77,34,1215,1,200,312911
85,36,1195,1,200,341248
81,45,281425,2,200,345714
89,34,1195,1,200,356685
97,34,1260,1,200,382536
93,38,52795,2,200,383004
101,34,1185,1,200,400901
109,34,1275,1,200,432728
105,46,257340,2,200,434406
113,34,1235,1,200,451859
121,34,1245,1,200,477826
117,38,49390,2,200,477881
125,34,1215,1,200,498104
133,35,1355,1,200,533303
129,47,256815,2,200,533375
137,38,45410,2,200,558434
141,33,1225,1,200,576126
145,34,1265,1,200,576182
149,39,64775,2,200,603979
153,34,1235,1,200,619348
157,34,1240,1,200,620491
161,46,244720,2,200,655651
165,34,1265,1,200,662098
169,34,1225,1,200,665206
173,36,36250,2,200,689898
177,34,1285,1,200,706468
181,34,1275,1,200,709688
185,37,62690,2,200,734996
189,34,1465,1,200,749509
193,34,1275,1,200,753929
197,38,78415,2,200,780728
201,34,1255,1,200,792657
205,33,1315,1,200,798002
209,44,168430,2,200,830144
213,34,1255,1,200,836118
217,34,1475,1,200,842379
221,38,59105,2,200,868099
225,33,1230,1,200,878836
229,34,1240,1,200,887812
233,46,226140,2,200,921434
237,33,1245,1,200,922559
241,34,1490,1,200,931802
245,38,37695,2,200,957255
249,34,1245,1,200,966288
253,34,1210,1,200,976568
257,39,71995,2,200,1003548
261,34,1215,1,200,1010768
265,34,1235,1,200,1021029
269,39,80330,2,200,1048900
273,34,1185,1,200,1054505
277,34,1345,1,200,1066077
285,34,1170,1,200,1099599
281,46,193685,2,200,1099631
289,34,1425,1,200,1111773
293,39,70615,2,200,1138719
297,34,1390,1,200,1142940
301,34,1415,1,200,1155748
305,40,101625,2,200,1184567
309,34,1130,1,200,1185445
313,33,1135,1,200,1199885
317,38,61445,2,200,1226131
321,34,1205,1,200,1228676
325,34,1190,1,200,1243493
333,34,1230,1,200,1273431
329,41,123185,2,200,1273486
337,34,1200,1,200,1289470
341,46,198880,2,200,1323644
345,34,1865,1,200,1323716
349,34,1230,1,200,1340915
353,37,23310,2,200,1365606
357,34,1160,1,200,1367640
361,34,1195,1,200,1385621
369,34,1165,1,200,1411396
365,37,44375,2,200,1411759
373,33,1180,1,200,1430556
377,41,120235,2,200,1460747
381,33,1220,1,200,1460763
385,33,1225,1,200,1480783
393,34,1250,1,200,1512902
389,45,244295,2,200,1514412
397,34,1205,1,200,1533496
405,33,1240,1,200,1559985
401,39,59520,2,200,1560093
409,37,45970,2,200,1585972
413,33,1260,1,200,1602981
417,34,1240,1,200,1604977
421,43,119260,2,200,1635151
425,33,1245,1,200,1646945
429,34,1225,1,200,1649818
433,44,212415,2,200,1681776
437,33,1270,1,200,1689904
441,33,1225,1,200,1692903
445,36,52720,2,200,1717846
449,34,1245,1,200,1733632
453,34,1245,1,200,1738614
457,43,153470,2,200,1769345
461,34,1255,1,200,1777635
465,34,1270,1,200,1782363
469,37,51410,2,200,1807468
473,34,1285,1,200,1820355
477,34,1215,1,200,1826796
481,47,218055,2,200,1862849
485,33,1235,1,200,1863559
489,34,1250,1,200,1870774
493,36,51605,2,200,1895253
497,34,1240,1,200,1907266
501,34,1240,1,200,1915244
505,45,215445,2,200,1948834
509,34,1280,1,200,1950464
513,34,1270,1,200,1960149
517,35,33555,2,200,1983966
521,33,1245,1,200,1994017
525,34,1280,1,200,2004958
529,43,195700,2,200,2035998
533,33,1340,1,200,2036974
537,34,1350,1,200,2048027
541,36,45990,2,200,2072732
545,34,1280,1,200,2080418
549,34,1300,1,200,2092692
557,34,1245,1,200,2126213
561,34,1255,1,200,2138225
553,62,668915,2,200,2142501
565,35,15150,2,200,2161528
569,34,1240,1,200,2168709
573,34,1270,1,200,2182953
581,34,1265,1,200,2211711
577,41,135175,2,200,2211936
585,34,1325,1,200,2226418
589,36,22770,2,200,2250095
593,34,1275,1,200,2254389
597,33,1260,1,200,2271013
601,41,143145,2,200,2300159
605,34,1290,1,200,2300657
609,34,1230,1,200,2317831
613,36,33120,2,200,2342614
617,34,1255,1,200,2344886
621,33,1375,1,200,2361998
629,34,1410,1,200,2393054
625,43,151945,2,200,2393096
633,34,1290,1,200,2411386
637,36,24745,2,200,2435862
641,33,1240,1,200,2435942
645,34,1245,1,200,2456120
653,34,1295,1,200,2484754
649,41,113365,2,200,2484796
657,34,1310,1,200,2505441
665,34,1270,1,200,2529281
661,36,22075,2,200,2529559
669,42,120260,2,200,2559548
673,33,1250,1,200,2571991
677,34,1255,1,200,2573273
681,36,18405,2,200,2597164
685,34,1300,1,200,2615529
689,33,1320,1,200,2618006
693,42,175755,2,200,2648945
697,34,1275,1,200,2660316
701,34,1480,1,200,2663231
705,35,17820,2,200,2686957
709,34,1405,1,200,2703178
713,34,1275,1,200,2707943
717,40,145750,2,200,2736583
721,34,1315,1,200,2748260
725,34,1235,1,200,2752669
729,36,26360,2,200,2776574
733,33,1270,1,200,2790920
737,34,1280,1,200,2797452
741,40,114425,2,200,2825877
745,33,1385,1,200,2834048
749,34,1295,1,200,2841403
753,35,15605,2,200,2864695
757,34,1295,1,200,2877512
761,34,1300,1,200,2886123
765,39,76825,2,200,2912324
769,34,1310,1,200,2921158
773,34,1400,1,200,2930836
781,34,1415,1,200,2965623
777,46,309655,2,200,2965986
785,33,1255,1,200,2974850
789,36,79570,2,200,2999256
793,34,1255,1,200,3008299
797,34,1245,1,200,3019293
801,39,72735,2,200,3046438
805,34,1210,1,200,3051519
809,33,1210,1,200,3062776
817,34,1215,1,200,3095234
813,44,175895,2,200,3095324
821,34,1945,1,200,3108498
829,34,1460,1,200,3139869
825,43,166310,2,200,3139918
833,34,1160,1,200,3153189
837,38,72440,2,200,3178548
841,34,1180,1,200,3182424
845,34,1175,1,200,3197437
853,34,1300,1,200,3230155
849,45,183075,2,200,3230382
857,34,1250,1,200,3245478
865,33,1240,1,200,3273478
861,40,102535,2,200,3273672
869,34,1180,1,200,3291129
877,34,1845,1,200,3321400
873,44,178310,2,200,3323977
881,34,1150,1,200,3339377
889,35,1170,1,200,3367990
885,40,123245,2,200,3368074
893,34,1265,1,200,3385113
897,45,190640,2,200,3418316
901,34,1220,1,200,3418905
905,33,1230,1,200,3437849
909,41,98555,2,200,3467554
