block_id,bct,size,priority,deadline,duration
4001,40,100000,2,5000,1358512
5,1370,100000,1,5000,1373517
13,1378,100000,1,5000,1383226
21,1392,100000,1,5000,1400444
29,1400,100000,1,5000,1410705
37,1405,100000,1,5000,1417686
45,1409,100000,1,5000,1424675
53,1417,100000,1,5000,1435699
61,1433,100000,1,5000,1453711
69,1447,100000,1,5000,1470288
77,1458,100000,1,5000,1483196
85,1470,100000,1,5000,1497166
93,1481,100000,1,5000,1511899
101,1488,100000,1,5000,1520444
109,1495,100000,1,5000,1529137
117,1500,100000,1,5000,1537612
125,1508,100000,1,5000,1547142
133,1516,100000,1,5000,1557614
141,1529,100000,1,5000,1572168
149,1538,100000,1,5000,1584116
157,1553,100000,1,5000,1601314
165,1567,100000,1,5000,1618609
173,1579,100000,1,5000,1633849
181,1591,100000,1,5000,1647341
189,1598,100000,1,5000,1658382
197,1611,100000,1,5000,1674584
205,1626,100000,1,5000,1691557
213,1638,100000,1,5000,1706312
221,1649,100000,1,5000,1720792
229,1660,100000,1,5000,1733082
237,1674,100000,1,5000,1750264
245,1697,100000,1,5000,1776776
253,1712,100000,1,5000,1793292
261,1723,100000,1,5000,1807044
269,1733,100000,1,5000,1820729
277,1750,100000,1,5000,1839994
285,1772,100000,1,5000,1863252
293,1785,100000,1,5000,1878720
301,1797,100000,1,5000,1893215
309,1806,100000,1,5000,1905692
317,1818,100000,1,5000,1920714
325,1837,100000,1,5000,1941214
333,1851,100000,1,5000,1957694
341,1860,100000,1,5000,1970243
349,1876,100000,1,5000,1988180
357,1894,100000,1,5000,2009900
365,1908,100000,1,5000,2025821
373,1921,100000,1,5000,2041727
381,1932,100000,1,5000,2055260
389,1947,100000,1,5000,2072455
397,1960,100000,1,5000,2088267
405,1970,100000,1,5000,2101990
413,1980,100000,1,5000,2114956
421,1995,100000,1,5000,2131745
429,2009,100000,1,5000,2149451
437,2020,100000,1,5000,2162444
445,2036,100000,1,5000,2180938
453,2051,100000,1,5000,2197911
461,2065,100000,1,5000,2213786
469,2077,100000,1,5000,2228398
477,2086,100000,1,5000,2239909
485,2097,100000,1,5000,2253207
493,2111,100000,1,5000,2270635
501,2128,100000,1,5000,2289371
509,2148,100000,1,5000,2311624
517,2160,100000,1,5000,2326991
525,2178,100000,1,5000,2346619
533,2188,100000,1,5000,2359850
541,2202,100000,1,5000,2375587
549,2228,100000,1,5000,2404068
557,2242,100000,1,5000,2420512
565,2255,100000,1,5000,2436479
573,2265,100000,1,5000,2448567
581,2274,100000,1,5000,2459527
589,2296,100000,1,5000,2483539
597,2311,100000,1,5000,2501730
605,2328,100000,1,5000,2520255
613,2339,100000,1,5000,2534115
621,2348,100000,1,5000,2546511
629,2362,100000,1,5000,2562505
637,2375,100000,1,5000,2578918
645,2394,100000,1,5000,2600549
653,2409,100000,1,5000,2618989
661,2425,100000,1,5000,2636898
669,2437,100000,1,5000,2650947
677,2455,100000,1,5000,2671203
685,2470,100000,1,5000,2689963
693,2482,100000,1,5000,2703929
701,2493,100000,1,5000,2716202
709,2503,100000,1,5000,2729684
717,2516,100000,1,5000,2745451
725,2532,100000,1,5000,2763137
733,2547,100000,1,5000,2781523
741,2566,100000,1,5000,2802650
749,2575,100000,1,5000,2813187
757,2590,100000,1,5000,2830332
765,2599,100000,1,5000,2842848
773,2615,100000,1,5000,2860371
781,2629,100000,1,5000,2877349
789,2643,100000,1,5000,2893321
797,2659,100000,1,5000,2911830
805,2676,100000,1,5000,2931554
813,2690,100000,1,5000,2947290
821,2701,100000,1,5000,2960607
829,2712,100000,1,5000,2973040
837,2726,100000,1,5000,2990795
845,2745,100000,1,5000,3011758
853,2758,100000,1,5000,3027290
861,2777,100000,1,5000,3048006
869,2786,100000,1,5000,3059488
877,2795,100000,1,5000,3071250
885,2805,100000,1,5000,3083990
893,2823,100000,1,5000,3103220
901,2834,100000,1,5000,3117285
909,2848,100000,1,5000,3133992
917,2869,100000,1,5000,3157702
925,2884,100000,1,5000,3174709
933,2895,100000,1,5000,3188425
941,2912,100000,1,5000,3208661
949,2930,100000,1,5000,3229169
957,2942,100000,1,5000,3243728
965,2953,100000,1,5000,3257658
973,2968,100000,1,5000,3275149
981,2978,100000,1,5000,3288134
989,2990,100000,1,5000,3303871
997,3002,100000,1,5000,3317824
1005,3017,100000,1,5000,3334354
1013,3033,100000,1,5000,3353331
1021,3045,100000,1,5000,3368836
1029,3063,100000,1,5000,3389307
1037,3081,100000,1,5000,3410806
1045,3097,100000,1,5000,3429807
1053,3110,100000,1,5000,3443993
1061,3121,100000,1,5000,3457514
1069,3132,100000,1,5000,3471018
1077,3143,100000,1,5000,3484517
1085,3160,100000,1,5000,3503030
1093,3172,100000,1,5000,3518785
1101,3190,100000,1,5000,3538242
1109,3203,100000,1,5000,3553751
1117,3218,100000,1,5000,3571018
1125,3230,100000,1,5000,3586218
1133,3248,100000,1,5000,3607182
1141,3265,100000,1,5000,3626197
1149,3277,100000,1,5000,3640951
1157,3284,100000,1,5000,3651780
1165,3295,100000,1,5000,3664690
1173,3302,100000,1,5000,3674986
1181,3313,100000,1,5000,3688174
1189,3332,100000,1,5000,3710957
1197,3353,100000,1,5000,3733158
1205,3364,100000,1,5000,3747131
1213,3374,100000,1,5000,3759674
1221,3387,100000,1,5000,3775913
1229,3404,100000,1,5000,3794841
1237,3419,100000,1,5000,3811077
1245,3434,100000,1,5000,3829844
1253,3447,100000,1,5000,3844610
1261,3463,100000,1,5000,3863529
1269,3475,100000,1,5000,3877334
1277,3485,100000,1,5000,3890281
1285,3502,100000,1,5000,3910294
1293,3517,100000,1,5000,3927787
1301,3530,100000,1,5000,3942768
1309,3547,100000,1,5000,3962034
1317,3571,100000,1,5000,3988791
1325,3584,100000,1,5000,4004270
1333,3596,100000,1,5000,4017997
1341,3606,100000,1,5000,4031246
1349,3623,100000,1,5000,4050462
1357,3638,100000,1,5000,4067238
1365,3662,100000,1,5000,4093709
1373,3677,100000,1,5000,4111712
1381,3688,100000,1,5000,4125710
1389,3700,100000,1,5000,4139669
1397,3714,100000,1,5000,4156955
9,4167,100000,2,5000,4171418
17,4168,100000,2,5000,4174666
25,4177,100000,2,5000,4186664
33,4185,100000,2,5000,4196677
41,4198,100000,2,5000,4212426
49,4208,100000,2,5000,4224670
57,4219,100000,2,5000,4238879
65,4225,100000,2,5000,4246382
73,4231,100000,2,5000,4255442
81,4242,100000,2,5000,4268106
89,4249,100000,2,5000,4278124
97,4255,100000,2,5000,4286400
105,4264,100000,2,5000,4297358
113,4275,100000,2,5000,4311782
121,4285,100000,2,5000,4323874
129,4304,100000,2,5000,4344510
137,4316,100000,2,5000,4358851
145,4324,100000,2,5000,4369832
153,4344,100000,2,5000,4391099
161,4359,100000,2,5000,4408790
169,4372,100000,2,5000,4424530
177,4391,100000,2,5000,4446582
185,4406,100000,2,5000,4464390
193,4419,100000,2,5000,4480764
201,4430,100000,2,5000,4494260
209,4444,100000,2,5000,4511503
217,4457,100000,2,5000,4526051
225,4470,100000,2,5000,4542269
233,4482,100000,2,5000,4557199
241,4500,100000,2,5000,4578192
249,4514,100000,2,5000,4594436
257,4528,100000,2,5000,4611723
265,4545,100000,2,5000,4631679
273,4561,100000,2,5000,4649442
281,4572,100000,2,5000,4662905
289,4592,100000,2,5000,4684657
297,4606,100000,2,5000,4701648
305,4617,100000,2,5000,4715973
313,4631,100000,2,5000,4731882
321,4647,100000,2,5000,4750866
329,4664,100000,2,5000,4769429
337,4673,100000,2,5000,4781914
345,4687,100000,2,5000,4798190
353,4710,100000,2,5000,4823099
361,4726,100000,2,5000,4842534
369,4737,100000,2,5000,4856560
377,4756,100000,2,5000,4877077
385,4763,100000,2,5000,4887810
393,4779,100000,2,5000,4906299
401,4795,100000,2,5000,4925547
409,4810,100000,2,5000,4942303
417,4828,100000,2,5000,4963264
425,4844,100000,2,5000,4982006
433,4856,100000,2,5000,4997755
441,4867,100000,2,5000,5010762
449,4884,100000,2,5000,5029472
457,4899,100000,2,5000,5046828
465,4911,100000,2,5000,5061710
473,4921,100000,2,5000,5073446
481,4931,100000,2,5000,5086691
489,4947,100000,2,5000,5105983
497,4967,100000,2,5000,5127922
505,4982,100000,2,5000,5144679
513,4993,100000,2,5000,5158419
521,5011,100000,2,5000,5178398
