block_id,bct,size,priority,deadline,duration
4001,64,100000,2,5000,1616859
2169,863,100000,2,5000,1629198
3081,487,100000,2,5000,1648927
2725,656,100000,1,5000,1666360
777,1440,100000,2,5000,1683337
1181,1324,100000,1,5000,1700580
2613,756,100000,1,5000,1716555
3245,512,100000,1,5000,1736908
3557,415,100000,1,5000,1772842
3897,298,100000,2,5000,1800517
1177,1441,100000,2,5000,1816541
57,1822,100000,2,5000,1829836
2133,1107,100000,1,5000,1856329
3313,635,100000,2,5000,1888255
3345,637,100000,2,5000,1903222
2933,826,100000,1,5000,1926264
465,1796,100000,2,5000,1939963
1361,1508,100000,2,5000,1952041
257,1907,100000,2,5000,1976879
3789,533,100000,1,5000,1990534
1233,1622,100000,2,5000,2018757
1429,1562,100000,1,5000,2033443
1349,1608,100000,1,5000,2048403
3193,855,100000,2,5000,2059778
2621,1119,100000,1,5000,2084761
285,2017,100000,1,5000,2095450
3793,651,100000,2,5000,2109006
1893,1474,100000,1,5000,2120157
2193,1353,100000,2,5000,2131231
2925,1047,100000,1,5000,2144888
2081,1436,100000,2,5000,2158898
469,2033,100000,1,5000,2178731
2629,1231,100000,1,5000,2199553
961,1922,100000,2,5000,2224615
105,2227,100000,2,5000,2249104
1337,1831,100000,2,5000,2266039
589,2099,100000,1,5000,2282124
3949,769,100000,1,5000,2295597
1369,1880,100000,2,5000,2329846
2333,1509,100000,1,5000,2348543
897,2084,100000,2,5000,2365536
297,2300,100000,2,5000,2384474
2941,1285,100000,1,5000,2389492
2777,1365,100000,2,5000,2401022
3213,1206,100000,1,5000,2417226
737,2218,100000,2,5000,2449707
305,2370,100000,2,5000,2456683
1153,2118,100000,2,5000,2484926
453,2348,100000,1,5000,2489178
521,2331,100000,2,5000,2494686
3201,1325,100000,2,5000,2532405
2633,1575,100000,2,5000,2544718
1613,2024,100000,1,5000,2559170
1221,2181,100000,1,5000,2573709
633,2391,100000,2,5000,2588350
3589,1239,100000,1,5000,2611497
537,2460,100000,2,5000,2628354
853,2369,100000,1,5000,2636388
1197,2269,100000,1,5000,2652136
1857,2037,100000,2,5000,2668352
3289,1433,100000,2,5000,2674342
77,2675,100000,1,5000,2688612
2357,1858,100000,1,5000,2708548
845,2460,100000,1,5000,2725320
2757,1709,100000,1,5000,2736566
1021,2430,100000,1,5000,2751635
1201,2391,100000,2,5000,2775097
1485,2290,100000,1,5000,2782779
245,2731,100000,1,5000,2797768
3549,1448,100000,1,5000,2803561
1421,2352,100000,1,5000,2820283
2753,1809,100000,2,5000,2833262
1945,2184,100000,2,5000,2852573
437,2740,100000,1,5000,2872298
3761,1445,100000,2,5000,2889840
1229,2513,100000,1,5000,2907542
3341,1657,100000,1,5000,2922256
3129,1754,100000,2,5000,2933510
2441,2086,100000,2,5000,2973719
3481,1671,100000,2,5000,2998069
1305,2581,100000,2,5000,3002445
2345,2172,100000,2,5000,3014185
269,2957,100000,1,5000,3030200
3625,1669,100000,2,5000,3055135
209,3016,100000,2,5000,3070445
2285,2269,100000,1,5000,3090710
2317,2271,100000,1,5000,3104904
757,2883,100000,1,5000,3120407
2205,2358,100000,1,5000,3143709
5,3154,100000,1,5000,3145463
125,3133,100000,1,5000,3160871
2261,2367,100000,1,5000,3177633
3217,1978,100000,2,5000,3190390
3025,2054,100000,2,5000,3191652
3477,1883,100000,1,5000,3208116
2477,2306,100000,1,5000,3211649
3593,1869,100000,2,5000,3242582
1785,2643,100000,2,5000,3246352
2577,2315,100000,2,5000,3262596
1957,2606,100000,1,5000,3278293
3733,1860,100000,1,5000,3291569
3277,2069,100000,1,5000,3306797
3085,2163,100000,1,5000,3325268
1417,2874,100000,2,5000,3340018
2553,2420,100000,2,5000,3359248
2961,2255,100000,2,5000,3368749
1453,2898,100000,1,5000,3379496
409,3265,100000,2,5000,3388260
1729,2822,100000,2,5000,3402026
2313,2578,100000,2,5000,3410569
229,3369,100000,1,5000,3429025
1661,2895,100000,1,5000,3447228
425,3320,100000,2,5000,3448470
3369,2182,100000,2,5000,3457513
3641,2068,100000,2,5000,3458526
653,3263,100000,1,5000,3466210
933,3192,100000,1,5000,3484712
1309,3098,100000,1,5000,3523407
389,3427,100000,1,5000,3542653
1541,3044,100000,1,5000,3555643
3953,2042,100000,2,5000,3570646
2969,2461,100000,2,5000,3577215
433,3450,100000,2,5000,3580170
2277,2774,100000,1,5000,3590382
3041,2460,100000,2,5000,3602111
2825,2543,100000,2,5000,3602650
1861,2970,100000,1,5000,3603654
