block_id,bct,size,priority,deadline,duration
4001,43,100000,2,5000,1453940
5,1451,100000,1,5000,1454399
13,1463,100000,1,5000,1469681
21,1482,100000,1,5000,1490739
29,1493,100000,1,5000,1504452
37,1495,100000,1,5000,1508922
45,1502,100000,1,5000,1518414
53,1510,100000,1,5000,1528371
61,1522,100000,1,5000,1543179
69,1537,100000,1,5000,1561874
77,1556,100000,1,5000,1582127
85,1569,100000,1,5000,1598023
93,1580,100000,1,5000,1611924
101,1596,100000,1,5000,1629980
109,1609,100000,1,5000,1646432
117,1624,100000,1,5000,1664169
125,1640,100000,1,5000,1682619
141,1657,100000,1,5000,1706713
133,1662,100000,1,5000,1707974
149,1670,100000,1,5000,1725397
157,1688,100000,1,5000,1744859
165,1706,100000,1,5000,1766322
173,1721,100000,1,5000,1782905
181,1729,100000,1,5000,1793964
189,1745,100000,1,5000,1813512
197,1760,100000,1,5000,1830815
205,1776,100000,1,5000,1849574
213,1796,100000,1,5000,1872091
221,1812,100000,1,5000,1890619
229,1831,100000,1,5000,1912491
237,1835,100000,1,5000,1919012
245,1853,100000,1,5000,1939178
253,1866,100000,1,5000,1955596
261,1876,100000,1,5000,1969485
269,1891,100000,1,5000,1986149
277,1907,100000,1,5000,2005468
285,1921,100000,1,5000,2022818
293,1939,100000,1,5000,2041848
301,1951,100000,1,5000,2058267
309,1963,100000,1,5000,2072677
317,1983,100000,1,5000,2094923
325,1994,100000,1,5000,2109506
333,2010,100000,1,5000,2128211
341,2022,100000,1,5000,2143435
349,2033,100000,1,5000,2157026
357,2050,100000,1,5000,2177747
365,2064,100000,1,5000,2193076
373,2073,100000,1,5000,2204909
381,2093,100000,1,5000,2227145
389,2106,100000,1,5000,2243656
397,2126,100000,1,5000,2265013
405,2136,100000,1,5000,2278783
413,2155,100000,1,5000,2299250
421,2172,100000,1,5000,2319595
429,2185,100000,1,5000,2334898
437,2196,100000,1,5000,2348521
445,2212,100000,1,5000,2366736
453,2224,100000,1,5000,2381581
461,2237,100000,1,5000,2397481
469,2252,100000,1,5000,2414617
477,2268,100000,1,5000,2433299
485,2282,100000,1,5000,2450436
493,2300,100000,1,5000,2471581
501,2314,100000,1,5000,2487513
509,2326,100000,1,5000,2503396
517,2344,100000,1,5000,2523167
525,2358,100000,1,5000,2540995
533,2368,100000,1,5000,2553490
541,2388,100000,1,5000,2574987
549,2402,100000,1,5000,2591853
557,2420,100000,1,5000,2612565
565,2433,100000,1,5000,2627565
573,2447,100000,1,5000,2643854
581,2459,100000,1,5000,2659515
589,2479,100000,1,5000,2681788
597,2487,100000,1,5000,2693356
605,2508,100000,1,5000,2716100
613,2527,100000,1,5000,2738129
621,2535,100000,1,5000,2749142
629,2552,100000,1,5000,2768253
637,2570,100000,1,5000,2789396
645,2584,100000,1,5000,2805225
653,2600,100000,1,5000,2824998
661,2614,100000,1,5000,2841356
669,2629,100000,1,5000,2859564
677,2637,100000,1,5000,2869324
685,2654,100000,1,5000,2889547
693,2662,100000,1,5000,2899033
701,2673,100000,1,5000,2913318
709,2688,100000,1,5000,2934781
717,2698,100000,1,5000,2947460
725,2716,100000,1,5000,2968165
733,2731,100000,1,5000,2986030
741,2747,100000,1,5000,3004240
749,2762,100000,1,5000,3022495
757,2781,100000,1,5000,3043682
765,2790,100000,1,5000,3055584
773,2810,100000,1,5000,3077543
781,2820,100000,1,5000,3090056
789,2832,100000,1,5000,3105223
797,2846,100000,1,5000,3123703
805,2869,100000,1,5000,3148033
813,2877,100000,1,5000,3159432
821,2896,100000,1,5000,3180614
829,2912,100000,1,5000,3198981
837,2928,100000,1,5000,3218470
845,2942,100000,1,5000,3233997
853,2955,100000,1,5000,3250473
861,2967,100000,1,5000,3265668
869,2983,100000,1,5000,3284268
877,3001,100000,1,5000,3304615
885,3010,100000,1,5000,3316858
893,3024,100000,1,5000,3333026
901,3042,100000,1,5000,3354329
909,3056,100000,1,5000,3371436
917,3065,100000,1,5000,3382267
925,3083,100000,1,5000,3403372
933,3101,100000,1,5000,3423840
941,3116,100000,1,5000,3441292
949,3126,100000,1,5000,3454969
957,3145,100000,1,5000,3477341
965,3160,100000,1,5000,3494699
973,3170,100000,1,5000,3507218
981,3187,100000,1,5000,3526490
989,3213,100000,1,5000,3555785
997,3221,100000,1,5000,3565505
1005,3237,100000,1,5000,3584153
1013,3252,100000,1,5000,3601572
1021,3265,100000,1,5000,3617590
1029,3282,100000,1,5000,3636961
1037,3301,100000,1,5000,3658717
1045,3316,100000,1,5000,3676080
1053,3327,100000,1,5000,3690618
1061,3337,100000,1,5000,3702842
1069,3356,100000,1,5000,3724601
1077,3368,100000,1,5000,3738813
1085,3381,100000,1,5000,3754655
1093,3403,100000,1,5000,3778334
1101,3415,100000,1,5000,3792943
1109,3429,100000,1,5000,3810286
1117,3439,100000,1,5000,3823065
1125,3449,100000,1,5000,3836672
1133,3467,100000,1,5000,3857033
1141,3477,100000,1,5000,3869739
1149,3504,100000,1,5000,3897866
1157,3507,100000,1,5000,3904289
1165,3523,100000,1,5000,3923674
1173,3537,100000,1,5000,3939777
1181,3554,100000,1,5000,3959429
1189,3567,100000,1,5000,3974997
1197,3577,100000,1,5000,3989687
1205,3592,100000,1,5000,4006696
1213,3610,100000,1,5000,4026875
1221,3625,100000,1,5000,4045675
1229,3640,100000,1,5000,4062085
1237,3656,100000,1,5000,4081401
1245,3672,100000,1,5000,4100506
1253,3682,100000,1,5000,4113440
1261,3700,100000,1,5000,4133088
1269,3710,100000,1,5000,4146599
1277,3727,100000,1,5000,4164888
9,4178,100000,2,5000,4182203
17,4189,100000,2,5000,4196077
25,4201,100000,2,5000,4210827
33,4211,100000,2,5000,4224613
41,4216,100000,2,5000,4230879
49,4218,100000,2,5000,4235685
57,4250,100000,2,5000,4270625
65,4258,100000,2,5000,4280624
73,4272,100000,2,5000,4297266
81,4285,100000,2,5000,4312337
89,4301,100000,2,5000,4331096
97,4317,100000,2,5000,4350631
105,4330,100000,2,5000,4366467
113,4344,100000,2,5000,4382003
121,4357,100000,2,5000,4398488
129,4372,100000,2,5000,4416456
137,4386,100000,2,5000,4434587
145,4402,100000,2,5000,4455501
153,4415,100000,2,5000,4471533
161,4434,100000,2,5000,4493727
169,4451,100000,2,5000,4511904
177,4469,100000,2,5000,4533229
185,4491,100000,2,5000,4557467
193,4502,100000,2,5000,4571713
201,4514,100000,2,5000,4585836
209,4531,100000,2,5000,4605375
217,4547,100000,2,5000,4624101
225,4561,100000,2,5000,4641234
233,4576,100000,2,5000,4658850
241,4593,100000,2,5000,4677875
249,4604,100000,2,5000,4692507
257,4613,100000,2,5000,4704345
265,4630,100000,2,5000,4724071
273,4648,100000,2,5000,4745330
281,4663,100000,2,5000,4763315
289,4674,100000,2,5000,4776578
297,4691,100000,2,5000,4796512
305,4709,100000,2,5000,4817459
313,4718,100000,2,5000,4829744
321,4736,100000,2,5000,4850187
329,4745,100000,2,5000,4862218
337,4761,100000,2,5000,4880465
345,4779,100000,2,5000,4902730
353,4795,100000,2,5000,4920185
361,4809,100000,2,5000,4937135
369,4825,100000,2,5000,4956905
377,4836,100000,2,5000,4968970
385,4858,100000,2,5000,4993434
393,4870,100000,2,5000,5008218
401,4886,100000,2,5000,5026369
409,4902,100000,2,5000,5045140
417,4920,100000,2,5000,5065160
425,4933,100000,2,5000,5080860
433,4948,100000,2,5000,5099835
441,4962,100000,2,5000,5115241
449,4977,100000,2,5000,5133115
457,4985,100000,2,5000,5144538
465,4997,100000,2,5000,5157902
473,5015,100000,2,5000,5178154
