block_id,bct,size,priority,deadline,duration
4001,55,100000,2,5000,1550654
2105,827,100000,2,5000,1566398
937,1268,100000,2,5000,1583178
877,1301,100000,1,5000,1593437
3857,167,100000,2,5000,1602977
3109,481,100000,1,5000,1616144
2201,848,100000,2,5000,1628893
1253,1226,100000,1,5000,1648139
2925,596,100000,1,5000,1664635
3245,491,100000,1,5000,1676119
3265,497,100000,2,5000,1691387
485,1548,100000,1,5000,1706315
293,1623,100000,1,5000,1719775
2357,882,100000,1,5000,1729270
3609,418,100000,2,5000,1754035
2217,979,100000,2,5000,1765260
1601,1233,100000,2,5000,1783063
285,1703,100000,1,5000,1795942
2493,908,100000,1,5000,1814886
809,1563,100000,2,5000,1832353
677,1621,100000,1,5000,1846081
1233,1442,100000,2,5000,1858331
3397,626,100000,1,5000,1871926
2045,1171,100000,1,5000,1881329
1169,1499,100000,2,5000,1892349
3469,627,100000,1,5000,1904536
1277,1489,100000,1,5000,1921053
2741,928,100000,1,5000,1931805
2329,1104,100000,2,5000,1941530
1985,1268,100000,2,5000,1956801
2189,1194,100000,1,5000,1968060
113,1948,100000,2,5000,1983548
3673,638,100000,2,5000,1999808
1265,1588,100000,2,5000,2015488
25,2021,100000,2,5000,2025628
3497,759,100000,2,5000,2049489
3037,958,100000,1,5000,2065261
2777,1063,100000,2,5000,2079775
2365,1247,100000,1,5000,2099973
1457,1616,100000,2,5000,2113669
901,1815,100000,1,5000,2116719
2225,1340,100000,2,5000,2131768
2249,1347,100000,2,5000,2150760
1637,1604,100000,1,5000,2165393
3801,765,100000,2,5000,2177174
437,2053,100000,1,5000,2195431
1237,1813,100000,1,5000,2230676
3201,1081,100000,2,5000,2250128
1757,1655,100000,1,5000,2262454
857,1994,100000,2,5000,2280874
2141,1538,100000,1,5000,2291376
1309,1861,100000,1,5000,2304669
885,2022,100000,1,5000,2316375
3385,1099,100000,2,5000,2340569
765,2108,100000,1,5000,2360351
3977,887,100000,2,5000,2372095
645,2176,100000,1,5000,2392166
3509,1113,100000,1,5000,2408559
1301,1989,100000,1,5000,2429538
3097,1315,100000,2,5000,2444601
2385,1599,100000,2,5000,2458820
1865,1835,100000,2,5000,2478571
1389,2047,100000,1,5000,2517533
865,2246,100000,2,5000,2534281
3825,1123,100000,2,5000,2547030
1821,1937,100000,1,5000,2566232
297,2483,100000,2,5000,2581072
3661,1242,100000,1,5000,2599717
1729,2014,100000,2,5000,2609757
1485,2109,100000,1,5000,2616067
2953,1555,100000,2,5000,2635652
3017,1545,100000,2,5000,2646763
1537,2136,100000,2,5000,2661907
613,2473,100000,1,5000,2678439
1325,2244,100000,1,5000,2691680
2577,1748,100000,2,5000,2691768
3161,1558,100000,2,5000,2711246
1605,2174,100000,1,5000,2724389
1613,2178,100000,1,5000,2731964
3257,1554,100000,2,5000,2745717
385,2631,100000,2,5000,2757723
2521,1852,100000,2,5000,2772248
1037,2437,100000,1,5000,2784542
1225,2384,100000,2,5000,2797755
