block_id,bct,size,priority,deadline,duration
4001,37,100000,2,5000,1348934
5,1364,100000,1,5000,1365405
13,1372,100000,1,5000,1376165
21,1380,100000,1,5000,1385938
29,1387,100000,1,5000,1395969
37,1399,100000,1,5000,1409393
45,1410,100000,1,5000,1424134
53,1418,100000,1,5000,1434644
61,1426,100000,1,5000,1444892
69,1440,100000,1,5000,1461857
77,1447,100000,1,5000,1470619
85,1458,100000,1,5000,1484371
93,1473,100000,1,5000,1501594
101,1481,100000,1,5000,1512095
109,1493,100000,1,5000,1526874
117,1511,100000,1,5000,1547324
125,1528,100000,1,5000,1566837
133,1544,100000,1,5000,1584266
141,1553,100000,1,5000,1596379
149,1565,100000,1,5000,1611252
157,1575,100000,1,5000,1623276
165,1586,100000,1,5000,1637552
173,1601,100000,1,5000,1655309
181,1614,100000,1,5000,1670500
189,1628,100000,1,5000,1688251
197,1645,100000,1,5000,1707280
205,1658,100000,1,5000,1722982
213,1676,100000,1,5000,1742729
221,1692,100000,1,5000,1762277
229,1706,100000,1,5000,1778232
237,1722,100000,1,5000,1795742
245,1740,100000,1,5000,1816970
253,1755,100000,1,5000,1833673
261,1771,100000,1,5000,1852898
269,1786,100000,1,5000,1871126
277,1797,100000,1,5000,1884643
285,1811,100000,1,5000,1901129
293,1825,100000,1,5000,1918878
301,1835,100000,1,5000,1930886
309,1848,100000,1,5000,1946353
317,1861,100000,1,5000,1962131
325,1874,100000,1,5000,1977829
333,1887,100000,1,5000,1992718
341,1903,100000,1,5000,2012352
349,1920,100000,1,5000,2031566
357,1933,100000,1,5000,2048144
365,1953,100000,1,5000,2069339
373,1960,100000,1,5000,2079365
381,1974,100000,1,5000,2095534
389,1983,100000,1,5000,2108034
397,1994,100000,1,5000,2120861
405,2007,100000,1,5000,2136522
413,2023,100000,1,5000,2155311
421,2035,100000,1,5000,2169998
429,2045,100000,1,5000,2182750
437,2055,100000,1,5000,2195044
445,2068,100000,1,5000,2210979
453,2083,100000,1,5000,2228712
461,2099,100000,1,5000,2247249
469,2118,100000,1,5000,2268461
477,2130,100000,1,5000,2284296
485,2140,100000,1,5000,2296944
493,2152,100000,1,5000,2311567
501,2166,100000,1,5000,2328657
509,2179,100000,1,5000,2344924
517,2193,100000,1,5000,2361904
525,2202,100000,1,5000,2374151
533,2213,100000,1,5000,2386441
541,2224,100000,1,5000,2400267
549,2248,100000,1,5000,2425441
557,2262,100000,1,5000,2443177
565,2274,100000,1,5000,2456658
573,2286,100000,1,5000,2472121
581,2296,100000,1,5000,2484604
589,2305,100000,1,5000,2495828
597,2320,100000,1,5000,2512328
605,2334,100000,1,5000,2529375
613,2349,100000,1,5000,2547069
621,2366,100000,1,5000,2566040
629,2381,100000,1,5000,2582532
637,2399,100000,1,5000,2604034
645,2411,100000,1,5000,2617292
653,2425,100000,1,5000,2633549
661,2440,100000,1,5000,2652030
669,2464,100000,1,5000,2678034
677,2476,100000,1,5000,2692238
685,2488,100000,1,5000,2706033
693,2499,100000,1,5000,2718496
701,2515,100000,1,5000,2738055
709,2530,100000,1,5000,2755201
717,2548,100000,1,5000,2774437
725,2564,100000,1,5000,2793686
733,2580,100000,1,5000,2811470
741,2596,100000,1,5000,2830170
749,2611,100000,1,5000,2847699
757,2626,100000,1,5000,2864913
765,2644,100000,1,5000,2886271
773,2657,100000,1,5000,2900877
781,2673,100000,1,5000,2918961
789,2684,100000,1,5000,2931920
