block_id,bct,size,priority,deadline,duration
4001,55,100000,2,5000,1555277
553,1392,100000,2,5000,1567472
3797,170,100000,1,5000,1583649
1181,1215,100000,1,5000,1595881
53,1596,100000,1,5000,1608877
69,1609,100000,1,5000,1626152
753,1401,100000,2,5000,1641869
1121,1299,100000,2,5000,1660369
769,1435,100000,2,5000,1680585
3529,391,100000,2,5000,1695835
3573,395,100000,1,5000,1713602
1085,1377,100000,1,5000,1726592
3897,284,100000,2,5000,1740488
2413,920,100000,1,5000,1771594
2085,1080,100000,1,5000,1789781
1645,1266,100000,1,5000,1807172
1669,1275,100000,1,5000,1824806
1697,1281,100000,2,5000,1842019
2521,965,100000,2,5000,1864747
2941,807,100000,1,5000,1880262
3685,531,100000,1,5000,1893760
1625,1374,100000,2,5000,1908535
3737,532,100000,2,5000,1919028
1809,1331,100000,2,5000,1931971
3785,539,100000,2,5000,1947728
2157,1220,100000,1,5000,1958989
77,1956,100000,1,5000,1975707
1737,1431,100000,2,5000,2004465
1233,1628,100000,2,5000,2025988
3721,664,100000,2,5000,2044209
2101,1341,100000,1,5000,2056115
1285,1655,100000,1,5000,2068716
2857,1047,100000,2,5000,2088384
985,1790,100000,2,5000,2107128
61,2107,100000,1,5000,2121897
2225,1366,100000,2,5000,2136170
3965,674,100000,1,5000,2162205
3745,776,100000,2,5000,2165901
3269,989,100000,1,5000,2189361
521,2041,100000,2,5000,2205856
1201,1832,100000,2,5000,2219342
3145,1078,100000,2,5000,2231333
2053,1549,100000,1,5000,2245597
2249,1479,100000,2,5000,2261568
2805,1263,100000,1,5000,2284333
3289,1085,100000,2,5000,2293823
3561,996,100000,2,5000,2310302
3857,882,100000,2,5000,2320368
865,2054,100000,2,5000,2330542
1225,1952,100000,2,5000,2347056
2961,1280,100000,2,5000,2361249
3493,1108,100000,1,5000,2399023
2645,1459,100000,1,5000,2414999
3577,1109,100000,2,5000,2428542
733,2206,100000,1,5000,2440475
2021,1789,100000,1,5000,2474217
1785,1899,100000,2,5000,2491537
3253,1315,100000,1,5000,2508734
605,2327,100000,1,5000,2519703
3309,1323,100000,1,5000,2540243
625,2354,100000,2,5000,2553448
3661,1217,100000,1,5000,2570947
3377,1327,100000,2,5000,2573464
2973,1508,100000,1,5000,2594445
2621,1668,100000,1,5000,2610666
1829,2024,100000,1,5000,2632542
73,2633,100000,2,5000,2651207
1885,2039,100000,1,5000,2669910
3173,1525,100000,1,5000,2688904
1497,2213,100000,2,5000,2703775
3757,1322,100000,1,5000,2717269
3045,1614,100000,1,5000,2729721
1545,2235,100000,2,5000,2742740
3333,1526,100000,1,5000,2753959
3629,1423,100000,1,5000,2763984
2937,1705,100000,2,5000,2777500
2573,1862,100000,1,5000,2785755
