block_id,bct,size,priority,deadline,duration
4001,27,100000,2,5000,1399248
5,1402,100000,1,5000,1408087
13,1404,100000,1,5000,1413817
21,1409,100000,1,5000,1420536
29,1412,100000,1,5000,1426208
37,1415,100000,1,5000,1432087
45,1418,100000,1,5000,1437728
53,1422,100000,1,5000,1443631
61,1426,100000,1,5000,1450528
69,1429,100000,1,5000,1455780
77,1432,100000,1,5000,1461064
85,1434,100000,1,5000,1466307
93,1437,100000,1,5000,1471609
101,1440,100000,1,5000,1477113
109,1444,100000,1,5000,1483771
117,1450,100000,1,5000,1491064
125,1454,100000,1,5000,1497989
133,1458,100000,1,5000,1504519
141,1462,100000,1,5000,1510977
149,1469,100000,1,5000,1519258
157,1473,100000,1,5000,1525487
165,1476,100000,1,5000,1531159
173,1480,100000,1,5000,1538032
181,1487,100000,1,5000,1546539
189,1494,100000,1,5000,1555579
197,1499,100000,1,5000,1564197
205,1504,100000,1,5000,1572461
213,1509,100000,1,5000,1581957
221,1513,100000,1,5000,1587926
229,1517,100000,1,5000,1594516
237,1523,100000,1,5000,1602967
245,1530,100000,1,5000,1611451
253,1534,100000,1,5000,1619026
261,1540,100000,1,5000,1626538
269,1546,100000,1,5000,1635679
277,1553,100000,1,5000,1644945
285,1559,100000,1,5000,1653658
293,1565,100000,1,5000,1661353
301,1572,100000,1,5000,1671901
309,1578,100000,1,5000,1680413
317,1584,100000,1,5000,1689445
325,1590,100000,1,5000,1697188
333,1596,100000,1,5000,1707354
341,1604,100000,1,5000,1718634
349,1611,100000,1,5000,1727147
357,1616,100000,1,5000,1736664
365,1623,100000,1,5000,1745414
373,1628,100000,1,5000,1753671
381,1635,100000,1,5000,1762565
389,1642,100000,1,5000,1771855
397,1648,100000,1,5000,1780832
405,1654,100000,1,5000,1789083
413,1662,100000,1,5000,1799127
421,1667,100000,1,5000,1807081
429,1670,100000,1,5000,1814575
437,1678,100000,1,5000,1824823
445,1683,100000,1,5000,1832552
453,1689,100000,1,5000,1841214
461,1695,100000,1,5000,1850092
469,1699,100000,1,5000,1858971
477,1704,100000,1,5000,1866588
485,1710,100000,1,5000,1875535
493,1716,100000,1,5000,1883594
