block_id,bct,size,priority,deadline,duration
317,40,100000,1,5000,133977
313,44,100000,2,5000,136822
89,125,100000,2,5000,138398
369,40,100000,2,5000,160139
173,119,100000,1,5000,162411
61,160,100000,1,5000,164180
261,92,100000,1,5000,166227
29,175,100000,1,5000,167932
329,65,100000,2,5000,170140
405,40,100000,1,5000,186354
33,193,100000,2,5000,187966
441,40,100000,2,5000,202356
9,219,100000,2,5000,205173
161,168,100000,2,5000,207310
145,177,100000,2,5000,208268
13,223,100000,1,5000,210642
193,162,100000,2,5000,212476
585,41,100000,2,5000,263362
529,62,100000,2,5000,266341
537,62,100000,2,5000,268570
709,41,100000,1,5000,310965
241,247,100000,2,5000,314057
725,41,100000,1,5000,322297
101,308,100000,1,5000,324812
581,107,100000,1,5000,328309
97,316,100000,2,5000,331510
837,42,100000,1,5000,371047
801,57,100000,2,5000,374777
129,351,100000,2,5000,377132
833,53,100000,2,5000,381317
1237,42,100000,1,5000,515503
517,320,100000,1,5000,520210
1653,44,100000,1,5000,682855
1461,119,100000,1,5000,689349
1813,44,100000,1,5000,758580
677,504,100000,1,5000,762949
1941,43,100000,1,5000,821107
1353,295,100000,2,5000,826347
2245,47,100000,1,5000,953025
2369,46,100000,2,5000,1017849
2117,166,100000,1,5000,1024104
2481,44,100000,2,5000,1074271
1957,286,100000,1,5000,1082689
2657,45,100000,2,5000,1164506
893,809,100000,1,5000,1171140
2813,45,100000,1,5000,1237804
1313,728,100000,2,5000,1244390
2981,43,100000,1,5000,1319032
1125,889,100000,1,5000,1324264
3113,43,100000,2,5000,1384365
3169,43,100000,2,5000,1410829
1553,815,100000,2,5000,1416815
3317,44,100000,1,5000,1481692
3337,52,100000,2,5000,1506361
2181,630,100000,1,5000,1511718
3469,44,100000,1,5000,1569757
3481,44,100000,2,5000,1587450
1741,910,100000,1,5000,1593230
2053,768,100000,1,5000,1599720
3633,44,100000,2,5000,1669151
3477,136,100000,1,5000,1676615
1253,1194,100000,1,5000,1682889
3769,45,100000,2,5000,1742621
2121,889,100000,2,5000,1748507
3781,44,100000,1,5000,1759880
2669,626,100000,1,5000,1767331
2285,837,100000,1,5000,1773610
3921,51,100000,2,5000,1839304
729,1550,100000,2,5000,1845539
1681,1188,100000,2,5000,1852032
2125,998,100000,1,5000,1858549
3933,44,100000,1,5000,1869874
57,1874,100000,2,5000,1876613
2545,814,100000,2,5000,1883294
4001,45,100000,2,5000,1921022
877,1571,100000,1,5000,1929485
2633,836,100000,2,5000,1945456
3565,358,100000,1,5000,1952238
429,1801,100000,1,5000,1958598
1977,1164,100000,2,5000,1967718
1001,1579,100000,2,5000,1974781
1641,1347,100000,2,5000,1981999
2397,990,100000,1,5000,1988225
1937,1219,100000,2,5000,1995550
2045,1175,100000,1,5000,2002964
2193,1126,100000,2,5000,2011964
3193,628,100000,2,5000,2019947
3061,708,100000,1,5000,2028709
165,1993,100000,1,5000,2033061
2781,859,100000,1,5000,2039450
3245,635,100000,1,5000,2045542
597,1818,100000,1,5000,2053492
325,1955,100000,1,5000,2059424
141,2034,100000,1,5000,2063772
717,1792,100000,1,5000,2070609
2253,1152,100000,1,5000,2077775
2013,1267,100000,1,5000,2084108
1549,1489,100000,1,5000,2090107
2713,941,100000,2,5000,2096215
1821,1373,100000,1,5000,2103419
2445,1095,100000,1,5000,2111687
3045,807,100000,1,5000,2120453
2337,1168,100000,2,5000,2127169
2221,1237,100000,1,5000,2135239
2937,887,100000,2,5000,2143011
397,2004,100000,1,5000,2148435
3433,642,100000,2,5000,2154653
1805,1451,100000,1,5000,2162637
1525,1577,100000,1,5000,2169868
2261,1248,100000,1,5000,2177423
2833,964,100000,2,5000,2183125
2849,965,100000,2,5000,2190435
3009,897,100000,2,5000,2196844
1265,1709,100000,2,5000,2203157
3837,454,100000,1,5000,2211126
2081,1377,100000,2,5000,2219402
3525,647,100000,1,5000,2226101
3241,824,100000,2,5000,2233386
3745,552,100000,2,5000,2239896
3581,653,100000,1,5000,2253361
641,2015,100000,2,5000,2262667
3309,834,100000,1,5000,2269362
3629,653,100000,1,5000,2276756
2685,1140,100000,1,5000,2286192
2557,1220,100000,1,5000,2293073
41,2300,100000,2,5000,2296631
2741,1140,100000,1,5000,2305834
3493,748,100000,1,5000,2315034
3361,842,100000,2,5000,2329817
2921,1085,100000,2,5000,2335941
2097,1495,100000,2,5000,2342672
2365,1381,100000,1,5000,2351084
3277,934,100000,1,5000,2357337
1049,1952,100000,2,5000,2364076
605,2134,100000,1,5000,2370606
2529,1320,100000,2,5000,2383533
2173,1510,100000,1,5000,2389027
2869,1164,100000,1,5000,2396781
1469,1831,100000,1,5000,2404305
3037,1100,100000,1,5000,2410825
1481,1841,100000,2,5000,2417212
513,2225,100000,2,5000,2423756
3093,1104,100000,1,5000,2438027
3257,1030,100000,2,5000,2445028
985,2061,100000,2,5000,2452283
1113,2027,100000,2,5000,2458265
133,2436,100000,1,5000,2462875
1429,1910,100000,1,5000,2470338
2157,1605,100000,1,5000,2477250
2845,1260,100000,1,5000,2483959
1817,1764,100000,2,5000,2492627
1829,1775,100000,1,5000,2508217
3197,1122,100000,1,5000,2514646
1585,1907,100000,2,5000,2520824
3881,754,100000,2,5000,2527374
3729,853,100000,2,5000,2534232
557,2327,100000,1,5000,2539792
1305,2033,100000,2,5000,2545937
3453,1032,100000,1,5000,2552646
1993,1752,100000,2,5000,2561053
2389,1574,100000,1,5000,2567722
2405,1574,100000,1,5000,2575039
2301,1639,100000,1,5000,2581744
3641,940,100000,2,5000,2589166
489,2404,100000,2,5000,2595158
3849,842,100000,2,5000,2601731
2085,1766,100000,1,5000,2609981
2925,1363,100000,1,5000,2616358
409,2469,100000,2,5000,2621012
1393,2082,100000,2,5000,2627287
1969,1833,100000,2,5000,2634009
1189,2185,100000,1,5000,2640645
825,2320,100000,2,5000,2646381
1241,2168,100000,2,5000,2652657
189,2609,100000,1,5000,2656751
2417,1658,100000,2,5000,2663092
2729,1510,100000,2,5000,2670861
793,2361,100000,2,5000,2677403
2329,1728,100000,2,5000,2683887
