block_id,bct,size,priority,deadline,duration
5,58,29234,1,150,527538
9,51,3178,2,150,561995
13,32,5000,0,100,582520
21,43,3320,2,150,634425
17,87,2873,2,150,638945
25,43,3346,2,150,675333
29,28,3360,2,150,701454
33,39,2351,2,150,753223
37,43,3446,2,150,798605
45,18,3098,2,150,814713
41,40,5000,0,100,835112
49,17,2385,2,150,854285
57,28,3694,2,150,907057
53,31,5000,0,100,909597
61,32,2407,2,150,952752
65,27,2479,2,150,987872
69,38,5000,0,100,1038923
73,42,2430,2,150,1043077
77,37,5000,0,100,1078261
81,40,3175,2,150,1082486
85,135,30013,1,150,1218742
89,109,3050,2,150,1233223
93,83,2200,2,150,1247357
97,52,3618,2,150,1257876
101,33,3153,2,150,1279705
109,24,2928,2,150,1311827
105,49,5000,0,100,1336926
113,35,2551,2,150,1363722
117,31,2119,2,150,1400393
121,29,2464,2,150,1439103
129,40,3149,2,150,1491598
125,42,5000,0,100,1493126
133,37,2116,2,150,1529126
137,52,3097,2,150,1584827
145,38,3202,2,150,1612875
141,42,5000,0,100,1615372
153,28,3740,2,150,1644823
149,38,5000,0,100,1653360
157,38,3170,2,150,1695778
161,148,29763,1,150,1845359
165,124,3238,2,150,1862933
169,97,3334,2,150,1875439
173,73,2336,2,150,1892519
177,38,3482,2,150,1897513
181,39,2693,2,150,1939543
185,28,2386,2,150,1968083
189,48,3046,2,150,2028263
193,43,3728,2,150,2064238
197,26,2679,2,150,2087631
201,44,2277,2,150,2147025
205,45,3151,2,150,2188284
213,42,3337,2,150,2227981
209,66,5000,0,100,2250373
217,38,3544,2,150,2263074
221,34,3065,2,150,2300231
225,34,5000,0,100,2340935
229,155,27030,1,150,2463075
237,77,5000,0,100,2466490
233,128,2688,2,150,2476156
241,92,3384,2,150,2482755
245,75,3131,2,150,2506663
249,45,3593,2,150,2516448
253,23,3316,2,150,2535905
257,42,3409,2,150,2594395
261,47,3130,2,150,2639915
265,33,2799,2,150,2667143
269,65,2698,2,150,2739310
273,49,2586,2,150,2764728
277,62,2694,2,150,2818047
285,36,2574,2,150,2833870
281,38,5000,0,100,2834581
289,34,2430,2,150,2872493
297,38,3067,2,150,2916602
293,51,5000,0,100,2929661
301,109,22588,1,150,3028250
305,77,2762,2,150,3036549
309,56,2565,2,150,3056135
313,50,2929,2,150,3091639
317,34,3368,2,150,3116477
321,35,3543,2,150,3158107
325,32,2629,2,150,3196894
329,31,3140,2,150,3235738
333,48,5000,0,100,3293096
337,48,2992,2,150,3293133
341,42,3762,2,150,3328087
345,40,4062,2,150,3367691
349,45,2700,2,150,3412450
353,35,3571,2,150,3443970
357,25,2915,2,150,3474895
361,53,3976,2,150,3543202
369,98,3297,2,150,3669423
365,145,31605,1,150,3675220
377,41,3635,2,150,3693188
373,90,3815,2,150,3701263
381,37,3439,2,150,3730973
385,27,2739,2,150,3760616
389,28,2766,2,150,3801043
393,42,2784,2,150,3856573
397,23,2578,2,150,3878635
401,46,2662,2,150,3941210
405,23,2058,2,150,3959628
409,38,2999,2,150,4015857
413,50,3589,2,150,4067527
417,47,3163,2,150,4104406
421,45,5000,0,100,4143180
425,54,3511,2,150,4153650
429,35,5000,0,100,4174197
437,86,5000,0,100,4267139
445,80,3111,2,150,4302469
441,124,3495,2,150,4305117
453,32,3245,2,150,4335230
449,92,2768,2,150,4355833
461,21,2871,2,150,4366374
457,46,5000,0,100,4390959
465,50,3717,2,150,4435259
469,51,3223,2,150,4476084
473,35,2820,2,150,4501919
477,48,3848,2,150,4555847
481,50,3337,2,150,4598065
489,33,3498,2,150,4623100
485,41,5000,0,100,4630890
493,37,3181,2,150,4667554
497,30,3051,2,150,4700363
501,33,1560,2,150,4744322
505,98,27055,1,150,4849377
513,58,5000,0,100,4891592
509,102,3343,2,150,4894401
521,42,2769,2,150,4915309
517,82,2441,2,150,4915660
525,45,2482,2,150,4959809
529,47,3141,2,150,5001930
533,35,3146,2,150,5030823
537,35,2736,2,150,5070538
541,35,3224,2,150,5111873
549,29,2950,2,150,5146689
545,45,5000,0,100,5161843
553,24,3187,2,150,5181152
557,44,3123,2,150,5241466
561,34,3108,2,150,5272671
565,53,2691,2,150,5331279
569,19,2055,2,150,5338263
573,31,5000,0,100,5390665
581,121,2763,2,150,5522670
585,95,3964,2,150,5536128
589,85,3002,2,150,5566298
593,65,3384,2,150,5587027
601,31,2201,2,150,5594260
597,44,5000,0,100,5607621
605,41,2667,2,150,5645108
613,28,2475,2,150,5673669
609,31,5000,0,100,5675940
617,29,3210,2,150,5714784
621,34,3247,2,150,5760069
625,50,3330,2,150,5816717
629,39,2915,2,150,5846568
637,26,3245,2,150,5875654
633,42,5000,0,100,5890964
641,34,2946,2,150,5924248
645,30,3037,2,150,5961126
649,45,5000,0,100,6016730
657,107,3471,2,150,6119738
661,69,5000,0,100,6122934
653,159,28947,1,150,6131299
669,68,2637,2,150,6161850
665,119,3692,2,150,6172583
673,48,2749,2,150,6182849
681,40,2397,2,150,6217009
677,57,5000,0,100,6232629
685,56,2839,2,150,6273922
689,31,3958,2,150,6288769
693,44,3304,2,150,6342057
697,22,2769,2,150,6360611
701,33,3472,2,150,6412485
705,40,3556,2,150,6459995
709,41,2118,2,150,6500772
713,35,3159,2,150,6535251
717,37,2763,2,150,6577570
721,100,26499,1,150,6681611
725,76,3397,2,150,6698119
729,64,3652,2,150,6727362
733,30,2963,2,150,6733176
737,34,2796,2,150,6777242
741,34,5000,0,100,6818143
745,34,2794,2,150,6819375
749,42,3449,2,150,6867987
753,21,2900,2,150,6887029
757,37,3065,2,150,6943335
761,34,3221,2,150,6980690
765,40,2656,2,150,7027291
769,34,5000,0,100,7061889
773,42,2896,2,150,7070609
777,28,3689,2,150,7097791
781,46,3276,2,150,7156950
785,28,2372,2,150,7178475
793,49,5000,0,100,7280893
797,129,2576,2,150,7360545
801,116,3145,2,150,7388321
805,78,3142,2,150,7390823
809,40,3335,2,150,7393452
817,36,2182,2,150,7430324
813,50,5000,0,100,7443577
821,31,2998,2,150,7465864
825,28,3038,2,150,7503959
829,34,2938,2,150,7549990
833,56,3099,2,150,7612623
837,26,2406,2,150,7623990
845,28,3522,2,150,7666272
841,47,5000,0,100,7684691
853,42,2698,2,150,7722222
849,50,5000,0,100,7729939
857,40,2974,2,150,7761891
861,31,2567,2,150,7793222
865,114,28777,1,150,7916840
869,99,3146,2,150,7942129
877,33,2945,2,150,7958730
