block_id,bct,size,priority,deadline,duration
5,40,29234,1,150,383657
9,45,3178,2,150,429931
13,32,5000,0,100,456288
17,59,2873,2,150,484467
21,46,3320,2,150,511275
25,40,3346,2,150,546097
29,22,3360,2,150,568655
33,37,2351,2,150,625418
37,31,3446,2,150,659504
41,28,5000,0,100,697970
45,39,3098,2,150,709508
49,26,2385,2,150,736318
53,35,5000,0,100,785194
57,40,3694,2,150,791899
61,29,2407,2,150,822534
65,52,2479,2,150,886094
69,38,5000,0,100,912081
73,41,2430,2,150,915359
77,31,5000,0,100,945629
81,36,3175,2,150,951621
89,101,3050,2,150,1096881
97,41,3618,2,150,1117203
93,100,2200,2,150,1136742
85,267,30013,1,150,1222761
105,65,5000,0,100,1223806
109,67,2928,2,150,1226046
101,162,3153,2,150,1280026
117,57,2119,2,150,1297868
121,24,2464,2,150,1306023
113,114,2551,2,150,1313213
129,60,3149,2,150,1383077
133,43,2116,2,150,1405593
125,97,5000,0,100,1418195
137,58,3097,2,150,1461210
145,37,3202,2,150,1481954
141,55,5000,0,100,1498366
149,56,5000,0,100,1542038
153,62,3740,2,150,1548374
157,52,3170,2,150,1579669
165,57,3238,2,150,1665932
169,82,3334,2,150,1730775
161,186,29763,1,150,1753977
173,78,2336,2,150,1767098
177,60,3482,2,150,1789908
181,43,2693,2,150,1813488
185,27,2386,2,150,1838304
189,48,3046,2,150,1899963
193,26,3728,2,150,1917375
197,46,2679,2,150,1977461
201,30,2277,2,150,2002998
205,36,3151,2,150,2049693
209,30,5000,0,100,2083233
213,46,3337,2,150,2100465
217,31,3544,2,150,2125382
221,42,3065,2,150,2177747
225,28,5000,0,100,2203720
233,54,2688,2,150,2270130
241,40,3384,2,150,2297606
237,65,5000,0,100,2321318
245,54,3131,2,150,2351292
253,50,3316,2,150,2428737
229,259,27030,1,150,2435944
249,109,3593,2,150,2447098
257,34,3409,2,150,2453777
261,36,3130,2,150,2496764
265,38,2799,2,150,2538528
269,54,2698,2,150,2595775
273,54,2586,2,150,2636620
277,34,2694,2,150,2656364
281,34,5000,0,100,2697340
285,54,2574,2,150,2719006
289,23,2430,2,150,2727654
297,17,3067,2,150,2762136
293,44,5000,0,100,2789955
305,45,2762,2,150,2871821
313,57,2929,2,150,2965669
309,105,2565,2,150,2972147
317,49,3368,2,150,2998419
301,251,22588,1,150,3037169
321,63,3543,2,150,3052666
325,40,2629,2,150,3069401
329,40,3140,2,150,3110461
333,27,5000,0,100,3137306
337,37,2992,2,150,3148557
341,38,3762,2,150,3190311
345,50,4062,2,150,3243080
349,41,2700,2,150,3274088
353,40,3571,2,150,3316773
357,41,2915,2,150,3358297
361,40,3976,2,150,3398672
369,50,3297,2,150,3488109
373,56,3815,2,150,3535650
385,67,2739,2,150,3667102
377,148,3635,2,150,3667756
381,113,3439,2,150,3672529
365,280,31605,1,150,3678709
389,49,2766,2,150,3691042
393,50,2784,2,150,3733088
397,47,2578,2,150,3769164
401,47,2662,2,150,3811080
405,23,2058,2,150,3826789
409,23,2999,2,150,3867219
413,26,3589,2,150,3911818
417,55,3163,2,150,3980194
425,38,3511,2,150,4005456
421,49,5000,0,100,4015287
429,38,5000,0,100,4046554
441,51,3495,2,150,4100812
437,70,5000,0,100,4120067
453,37,3245,2,150,4209205
445,129,3111,2,150,4219676
449,153,2768,2,150,4284754
433,302,26611,1,150,4311843
461,141,2871,2,150,4353215
457,154,5000,0,100,4365751
465,137,3717,2,150,4389790
473,64,2820,2,150,4398341
469,121,3223,2,150,4414781
477,51,3848,2,150,4425311
481,56,3337,2,150,4471610
485,37,5000,0,100,4492948
489,37,3498,2,150,4493442
493,30,3181,2,150,4526436
497,33,3051,2,150,4571088
501,41,1560,2,150,4619939
509,75,3343,2,150,4735492
517,45,2441,2,150,4745421
513,85,5000,0,100,4785294
521,46,2769,2,150,4787643
505,203,27055,1,150,4822803
525,87,2482,2,150,4868120
529,56,3141,2,150,4877152
533,57,3146,2,150,4919918
537,38,2736,2,150,4941996
541,26,3224,2,150,4969279
549,30,2950,2,150,5014328
545,37,5000,0,100,5020645
553,39,3187,2,150,5063859
557,47,3123,2,150,5113067
561,34,3108,2,150,5139378
565,36,2691,2,150,5182937
569,33,2055,2,150,5219384
573,57,5000,0,100,5283221
581,50,2763,2,150,5318232
589,37,3002,2,150,5386908
585,123,3964,2,150,5431396
593,74,3384,2,150,5464437
601,50,2201,2,150,5481482
597,71,5000,0,100,5501848
605,51,2667,2,150,5522987
613,57,2475,2,150,5569933
617,58,3210,2,150,5610610
609,110,5000,0,100,5622760
621,58,3247,2,150,5651326
577,450,39269,1,150,5677240
625,63,3330,2,150,5697103
629,43,2915,2,150,5717689
637,34,3245,2,150,5750482
633,46,5000,0,100,5762084
641,49,2946,2,150,5805370
645,27,3037,2,150,5824462
649,34,5000,0,100,5871826
657,83,3471,2,150,5961627
661,76,5000,0,100,5994990
665,99,3692,2,150,6017284
669,69,2637,2,150,6029097
673,78,2749,2,150,6078713
677,118,5000,0,100,6159878
681,123,2397,2,150,6165070
685,101,2839,2,150,6183345
689,66,3958,2,150,6188852
653,372,28947,1,150,6209188
693,59,3304,2,150,6221439
697,26,2769,2,150,6228694
701,27,3472,2,150,6271019
705,48,3556,2,150,6332081
709,37,2118,2,150,6361241
713,34,3159,2,150,6399989
717,37,2763,2,150,6443130
725,54,3397,2,150,6541042
721,99,26499,1,150,6546056
729,29,3652,2,150,6556628
733,38,2963,2,150,6605296
737,30,2796,2,150,6638196
