block_id,bct,size,priority,deadline,duration
5,56,26268,1,150,452667
9,47,3114,2,150,483462
17,70,2074,2,150,547721
13,87,5000,0,100,563541
21,101,2730,2,150,618376
25,64,2721,2,150,621801
33,65,2947,2,150,704104
45,71,3791,2,150,790190
49,31,2512,2,150,792509
37,115,2615,2,150,793711
41,124,5000,0,100,843815
53,46,5000,0,100,847827
29,296,28394,1,150,893236
61,94,1969,2,150,937083
65,113,2639,2,150,995394
73,101,2386,2,150,1025106
77,66,5000,0,100,1029367
69,193,5000,0,100,1116504
89,101,3363,2,150,1146615
81,218,2936,2,150,1181397
93,151,2555,2,150,1237081
101,82,2487,2,150,1250026
113,32,2736,2,150,1281134
105,92,5000,0,100,1300363
97,179,3613,2,150,1306027
117,67,2733,2,150,1357882
121,48,2805,2,150,1379087
137,30,3594,2,150,1481719
125,235,5000,0,100,1607085
141,117,5000,0,100,1609013
153,79,2344,2,150,1612321
145,130,2165,2,150,1623097
129,275,3209,2,150,1646860
165,52,3406,2,150,1706307
169,70,2400,2,150,1765731
157,219,3983,2,150,1792625
173,112,2840,2,150,1847261
177,79,2707,2,150,1855375
149,361,5000,0,100,1893586
185,61,2468,2,150,1917586
189,71,4042,2,150,1968008
193,45,3157,2,150,1981601
197,38,3408,2,150,2015340
85,1017,26100,1,150,2021840
205,78,2693,2,150,2135853
217,43,3908,2,150,2181766
225,147,5000,0,100,2367681
241,66,3812,2,150,2368593
221,190,3527,2,150,2369835
213,305,2780,2,150,2403387
249,71,2551,2,150,2455822
209,380,5000,0,100,2478808
257,25,3110,2,150,2490170
245,267,3374,2,150,2610242
109,1535,30203,1,150,2743734
277,78,2431,2,150,2744232
269,181,2458,2,150,2767216
285,61,2766,2,150,2768429
265,242,3635,2,150,2787187
289,47,3951,2,150,2795006
293,91,5000,0,100,2878608
237,593,5000,0,100,2895403
261,405,2241,2,150,2910134
305,52,3023,2,150,2921166
309,85,3283,2,150,2995433
313,45,2648,2,150,2996696
297,212,2706,2,150,3001079
57,2261,38254,1,150,3063981
281,422,5000,0,100,3129497
233,955,2868,2,150,3216627
329,106,2622,2,150,3219838
325,223,3042,2,150,3296316
349,28,2874,2,150,3304921
317,343,3160,2,150,3334248
161,1815,36268,1,150,3428256
337,297,2919,2,150,3451760
361,70,3481,2,150,3469070
357,116,3397,2,150,3474072
353,244,3029,2,150,3561718
333,442,5000,0,100,3596285
321,755,30607,1,150,3787790
373,292,3161,2,150,3811744
389,141,2992,2,150,3821422
369,365,3262,2,150,3843939
393,174,3571,2,150,3895330
377,349,2544,2,150,3909081
409,45,3490,2,150,3928427
181,2123,23989,1,150,3939549
341,782,3381,2,150,3977845
417,58,3947,2,150,4022726
133,2640,41462,1,150,4051376
445,48,3679,2,150,4175612
301,1447,25422,1,150,4276838
477,32,3520,2,150,4445103
273,1923,32486,1,150,4549295
437,468,5000,0,100,4555027
493,40,2739,2,150,4576086
485,139,5000,0,100,4633886
509,33,2302,2,150,4730567
473,390,3727,2,150,4761884
421,769,5000,0,100,4773257
517,47,3160,2,150,4785699
413,865,3356,2,150,4788712
489,306,3715,2,150,4800270
381,1223,2017,2,150,4822477
397,1132,1948,2,150,4893884
465,651,3113,2,150,4940725
253,2551,33741,1,150,4976068
425,1150,3126,2,150,5155076
561,58,2764,2,150,5202501
457,985,5000,0,100,5233771
441,1150,2722,2,150,5236984
557,181,2475,2,150,5284283
533,446,2648,2,150,5346545
525,566,3398,2,150,5385141
201,3440,33314,1,150,5457245
581,161,3420,2,150,5467167
585,173,1902,2,150,5520966
541,623,3369,2,150,5604905
617,21,3607,2,150,5610939
593,193,2779,2,150,5621630
497,1076,2090,2,150,5651384
521,896,3794,2,150,5674181
621,46,2641,2,150,5676944
469,1362,2394,2,150,5692326
565,529,2290,2,150,5714270
449,1575,3156,2,150,5743087
345,2516,29989,1,150,5752843
501,1167,2085,2,150,5783290
589,404,2629,2,150,5792959
597,402,5000,0,100,5871101
633,172,5000,0,100,5924711
401,2195,2371,2,150,5998058
645,177,2762,2,150,6010624
669,25,1971,2,150,6020622
637,293,3328,2,150,6045467
629,381,2591,2,150,6092566
429,2050,5000,0,100,6095571
609,613,5000,0,100,6162204
453,1983,2363,2,150,6191150
549,1185,3369,2,150,6207642
573,990,5000,0,100,6256957
705,50,1435,2,150,6369413
649,518,5000,0,100,6392676
709,66,2899,2,150,6425625
673,504,3302,2,150,6540257
689,390,3731,2,150,6548558
229,4453,33492,1,150,6674313
733,194,2314,2,150,6795782
693,644,3255,2,150,6842596
737,213,4380,2,150,6855435
569,1639,3262,2,150,6864597
761,28,3524,2,150,6873676
433,2943,32712,1,150,6988115
513,2265,5000,0,100,7002987
781,22,1984,2,150,7031215
717,607,3173,2,150,7047307
741,429,5000,0,100,7112995
677,1063,5000,0,100,7139522
797,37,1869,2,150,7167339
665,1295,2261,2,150,7250376
641,1471,3661,2,150,7264207
537,2326,3339,2,150,7267833
729,708,3033,2,150,7269699
753,570,3467,2,150,7335073
697,1100,3108,2,150,7338850
785,319,2756,2,150,7368750
749,665,3168,2,150,7389682
605,1924,3196,2,150,7433304
833,41,1754,2,150,7496884
757,713,2352,2,150,7518455
845,31,2610,2,150,7567209
685,1454,2345,2,150,7571669
601,2116,27142,1,150,7585285
857,53,3565,2,150,7670797
861,30,3796,2,150,7687274
841,211,5000,0,100,7746487
869,66,2513,2,150,7804512
773,878,3570,2,150,7806053
769,880,5000,0,100,7807831
545,2796,5000,0,100,7818631
873,47,3598,2,150,7825899
809,614,2874,2,150,7866337
885,32,3188,2,150,7893109
805,745,2669,2,150,7956538
825,617,2785,2,150,7991807
801,891,3186,2,150,8061707
461,3825,34398,1,150,8073513
893,181,2145,2,150,8122356
661,2167,5000,0,100,8122872
921,50,3777,2,150,8234915
813,945,5000,0,100,8237182
613,2690,3242,2,150,8239491
725,1744,2939,2,150,8264771
821,957,2938,2,150,8291606
365,4932,30515,1,150,8370355
657,2495,2747,2,150,8409192
937,63,3308,2,150,8409670
941,45,3068,2,150,8432656
829,1125,3026,2,150,8539953
945,235,5000,0,100,8662640
529,3802,21841,1,150,8662874
877,844,2692,2,150,8663368
985,50,3150,2,150,8802672
949,405,2740,2,150,8832963
977,186,2936,2,150,8858014
989,132,3759,2,150,8924560
481,4473,23993,1,150,8926698
777,2021,2995,2,150,8989393
929,752,2377,2,150,9017189
953,562,2400,2,150,9030864
853,1534,3699,2,150,9110790
1021,46,3675,2,150,9125413
881,1276,5000,0,100,9135379
961,740,2987,2,150,9289249
1045,44,3219,2,150,9327290
965,772,4092,2,150,9362670
897,1485,3176,2,150,9466240
1001,596,3036,2,150,9471007
1061,46,3104,2,150,9491238
653,3674,28776,1,150,9548152
1009,640,2991,2,150,9597995
1077,41,3433,2,150,9608742
1037,473,3634,2,150,9715767
925,1544,2458,2,150,9768737
1013,835,3290,2,150,9832202
1117,55,2586,2,150,9907919
1085,294,3363,2,150,9943897
901,1933,3614,2,150,9955390
1069,498,5000,0,100,10025853
969,1429,2712,2,150,10060656
917,1981,3111,2,150,10124781
1093,512,2312,2,150,10201393
997,1445,3783,2,150,10279202
1109,479,5000,0,100,10292005
1081,689,3549,2,150,10297810
1141,255,3046,2,150,10311313
1165,31,3153,2,150,10331459
1041,1140,5000,0,100,10422324
1173,46,3540,2,150,10427814
1105,707,2242,2,150,10478683
1177,65,2002,2,150,10486351
1101,724,5000,0,100,10495743
1113,747,2601,2,150,10559530
993,1730,5000,0,100,10564053
1145,494,2753,2,150,10591423
1057,1187,2749,2,150,10591618
1181,238,2928,2,150,10701098
837,3295,21796,1,150,10790337
933,2565,26813,1,150,10870331
909,2810,2974,2,150,10872575
1029,1796,1993,2,150,10956574
