block_id,bct,size,priority,deadline,duration
5,52,29234,1,150,412528
9,27,3178,2,150,427973
17,50,2873,2,150,492358
13,51,5000,0,100,492917
21,36,3320,2,150,519403
25,39,3346,2,150,563338
29,17,3360,2,150,581620
33,17,2351,2,150,622628
37,28,3446,2,150,673973
41,27,5000,0,100,713357
45,45,3098,2,150,733860
49,40,2385,2,150,768184
57,46,3694,2,150,815288
53,47,5000,0,100,815798
61,24,2407,2,150,833446
65,26,2479,2,150,876627
69,39,5000,0,100,929432
73,53,2430,2,150,944866
77,51,5000,0,100,983772
81,51,3175,2,150,984460
89,77,3050,2,150,1091483
85,121,30013,1,150,1095871
97,42,3618,2,150,1137730
93,106,2200,2,150,1160237
101,33,3153,2,150,1169043
109,26,2928,2,150,1203000
105,27,5000,0,100,1203516
113,34,2551,2,150,1252664
117,35,2119,2,150,1294440
121,37,2464,2,150,1335808
129,43,3149,2,150,1383334
125,52,5000,0,100,1391605
133,21,2116,2,150,1402344
137,55,3097,2,150,1476546
145,34,3202,2,150,1496528
141,47,5000,0,100,1508314
149,38,5000,0,100,1541411
153,52,3740,2,150,1556767
157,47,3170,2,150,1591765
169,68,3334,2,150,1735245
165,110,3238,2,150,1736209
161,156,29763,1,150,1741234
173,50,2336,2,150,1758199
177,34,3482,2,150,1782576
181,26,2693,2,150,1815369
185,36,2386,2,150,1865750
189,35,3046,2,150,1905237
193,23,3728,2,150,1933111
197,41,2679,2,150,1992512
201,44,2277,2,150,2037946
205,44,3151,2,150,2076973
209,35,5000,0,100,2109653
213,46,3337,2,150,2121108
217,44,3544,2,150,2160212
221,35,3065,2,150,2192007
225,38,5000,0,100,2235852
229,125,27030,1,150,2324258
233,120,2688,2,150,2359279
245,53,3131,2,150,2374103
237,94,5000,0,100,2374147
241,96,3384,2,150,2377898
249,44,3593,2,150,2405896
253,29,3316,2,150,2431392
257,28,3409,2,150,2471065
261,44,3130,2,150,2527524
265,28,2799,2,150,2552268
269,41,2698,2,150,2606472
273,28,2586,2,150,2633274
277,49,2694,2,150,2695826
285,24,2574,2,150,2712670
281,53,5000,0,100,2740924
289,31,2430,2,150,2759148
297,31,3067,2,150,2800217
293,48,5000,0,100,2816292
301,101,22588,1,150,2911437
309,28,2565,2,150,2919132
305,77,2762,2,150,2927936
313,34,2929,2,150,2965220
317,49,3368,2,150,3021822
321,27,3543,2,150,3039303
325,27,2629,2,150,3080469
329,41,3140,2,150,3134928
333,30,5000,0,100,3164851
337,43,2992,2,150,3178671
341,22,3762,2,150,3197670
345,47,4062,2,150,3262843
349,34,2700,2,150,3290718
353,49,3571,2,150,3346355
357,35,2915,2,150,3372612
361,49,3976,2,150,3426055
365,133,31605,1,150,3551063
373,70,3815,2,150,3568075
369,110,3297,2,150,3568290
377,53,3635,2,150,3592522
381,53,3439,2,150,3632263
385,29,2739,2,150,3649896
389,40,2766,2,150,3701575
393,34,2784,2,150,3736492
397,39,2578,2,150,3781031
401,41,2662,2,150,3824270
405,32,2058,2,150,3856647
409,35,2999,2,150,3899026
413,55,3589,2,150,3959229
417,35,3163,2,150,3980815
421,37,5000,0,100,4022622
425,38,3511,2,150,4024855
429,58,5000,0,100,4086018
437,50,5000,0,100,4119383
441,107,3495,2,150,4176687
445,85,3111,2,150,4195214
449,56,2768,2,150,4207168
453,28,3245,2,150,4219637
457,29,5000,0,100,4260569
461,45,2871,2,150,4277503
465,26,3717,2,150,4299727
469,40,3223,2,150,4353651
473,46,2820,2,150,4400420
477,44,3848,2,150,4439589
481,39,3337,2,150,4475523
489,35,3498,2,150,4512397
485,40,5000,0,100,4516307
493,35,3181,2,150,4553725
497,26,3051,2,150,4584214
501,28,1560,2,150,4627131
505,99,27055,1,150,4738546
513,63,5000,0,100,4784283
521,31,2769,2,150,4793465
509,127,3343,2,150,4806985
517,91,2441,2,150,4812503
525,38,2482,2,150,4840805
529,30,3141,2,150,4872095
533,31,3146,2,150,4914675
537,34,2736,2,150,4957324
541,19,3224,2,150,4983080
545,47,5000,0,100,5051233
549,52,2950,2,150,5057533
553,35,3187,2,150,5081011
557,40,3123,2,150,5126178
561,46,3108,2,150,5173069
565,57,2691,2,150,5224279
569,58,2055,2,150,5266907
573,50,5000,0,100,5299687
589,32,3002,2,150,5403646
585,72,3964,2,150,5403807
581,121,2763,2,150,5411948
593,32,3384,2,150,5443248
601,25,2201,2,150,5478054
597,41,5000,0,100,5493836
605,34,2667,2,150,5527676
613,35,2475,2,150,5569246
609,65,5000,0,100,5598026
617,35,3210,2,150,5609853
621,52,3247,2,150,5667511
625,52,3330,2,150,5707120
629,27,2915,2,150,5723642
637,45,3245,2,150,5782454
633,49,5000,0,100,5784980
641,35,2946,2,150,5813304
645,37,3037,2,150,5856837
649,33,5000,0,100,5892601
657,103,3471,2,150,6003729
661,68,5000,0,100,6010474
653,164,28947,1,150,6024252
665,85,3692,2,150,6027749
669,50,2637,2,150,6032518
673,30,2749,2,150,6053350
