block_id,bct,size,priority,deadline,duration
5,60,32302,1,150,439300
9,43,10000,0,100,463022
13,79,3470,2,150,500863
17,53,2406,2,150,515117
21,83,10000,0,100,585815
25,105,3323,2,150,608173
33,98,3055,2,150,641840
29,99,10000,0,100,642852
57,31,4020,2,150,695962
65,58,3084,2,150,764064
49,188,3449,2,150,813323
85,35,2191,2,150,865184
73,168,2692,2,150,916826
77,172,10000,0,100,959975
41,391,10000,0,100,974980
93,128,3282,2,150,1039318
37,492,10000,0,100,1075682
69,363,10000,0,100,1110692
121,46,2909,2,150,1120013
117,124,2667,2,150,1157272
101,248,2556,2,150,1199423
125,139,3711,2,150,1254363
133,107,3527,2,150,1263766
89,531,1395,2,150,1401483
161,98,2982,2,150,1456137
145,224,3598,2,150,1461513
157,201,3038,2,150,1519817
177,28,3104,2,150,1549061
181,46,2349,2,150,1607686
53,984,10000,0,100,1649772
201,40,3264,2,150,1683819
113,688,10000,0,100,1721886
61,1240,10000,0,100,1946690
245,32,2765,2,150,1959198
209,389,3291,2,150,2071962
221,395,3343,2,150,2159768
249,216,2628,2,150,2184399
269,121,3021,2,150,2210350
149,946,3019,2,150,2223049
285,107,2949,2,150,2278156
173,799,3070,2,150,2279879
313,29,2618,2,150,2363466
253,405,10000,0,100,2413031
233,621,3912,2,150,2466962
105,1549,10000,0,100,2541028
237,656,3222,2,150,2542041
229,775,10000,0,100,2621159
97,1709,10000,0,100,2660545
213,946,2587,2,150,2669986
369,37,2604,2,150,2779436
197,1217,10000,0,100,2858922
289,698,10000,0,100,2909242
217,1164,10000,0,100,2928473
137,1811,10000,0,100,3007162
241,1114,10000,0,100,3041205
153,1773,10000,0,100,3091298
421,31,3362,2,150,3098591
301,846,3281,2,150,3098635
381,352,2410,2,150,3135072
261,1178,2547,2,150,3227570
461,30,2768,2,150,3383006
277,1267,2691,2,150,3397819
169,1982,3287,2,150,3421577
357,852,2822,2,150,3512159
429,409,10000,0,100,3557535
449,445,3852,2,150,3716489
365,1063,3148,2,150,3764125
273,1640,10000,0,100,3770204
185,2170,10000,0,100,3770944
525,42,3154,2,150,3843692
505,270,2593,2,150,3869140
409,921,2748,2,150,3907280
337,1388,3161,2,150,3924652
373,1142,10000,0,100,3924683
517,209,2385,2,150,3930333
521,233,3810,2,150,3994166
333,1521,2859,2,150,4017705
405,1161,2549,2,150,4107520
129,3029,10000,0,100,4184937
553,244,2881,2,150,4209290
477,849,3514,2,150,4325666
305,2035,10000,0,100,4328800
569,255,3069,2,150,4343458
545,426,2603,2,150,4349547
581,255,3361,2,150,4386583
425,1380,2066,2,150,4488214
377,1735,10000,0,100,4517114
453,1256,2675,2,150,4568392
649,47,3384,2,150,4587889
497,1084,2930,2,150,4643791
325,2192,2883,2,150,4647829
469,1286,10000,0,100,4721366
669,41,3010,2,150,4744372
617,497,2279,2,150,4873858
297,2629,10000,0,100,4881538
637,497,1967,2,150,4996871
541,1139,3573,2,150,5022118
709,51,3750,2,150,5040671
437,1918,2799,2,150,5108185
389,2251,3631,2,150,5114982
609,781,10000,0,100,5116742
205,3444,10000,0,100,5127319
729,40,2519,2,150,5151359
593,966,3079,2,150,5178351
557,1181,2686,2,150,5186121
281,3045,10000,0,100,5215504
401,2340,10000,0,100,5284705
645,830,10000,0,100,5370844
765,64,3594,2,150,5420640
329,2956,10000,0,100,5452358
621,1038,2723,2,150,5455715
733,321,3357,2,150,5472547
561,1490,10000,0,100,5536016
789,53,2700,2,150,5573531
577,1549,10000,0,100,5678316
361,3036,10000,0,100,5737248
697,896,3896,2,150,5802965
737,629,10000,0,100,5821454
265,3752,10000,0,100,5841606
701,953,10000,0,100,5901519
513,2233,3436,2,150,5913493
641,1436,10000,0,100,5976091
589,1869,2858,2,150,6041440
529,2328,10000,0,100,6170208
885,36,2506,2,150,6209376
613,1957,3032,2,150,6292039
849,372,2511,2,150,6340408
341,3788,10000,0,100,6364984
921,29,3098,2,150,6405874
473,3151,27292,1,150,6586793
917,398,2687,2,150,6733782
973,29,2213,2,150,6812997
741,1648,2809,2,150,6840619
977,43,3099,2,150,6867585
489,3492,3041,2,150,7010765
805,1395,3020,2,150,7036100
481,3520,10000,0,100,7037080
997,63,3734,2,150,7049913
945,457,1953,2,150,7077745
657,2543,3439,2,150,7165750
1021,37,3454,2,150,7187612
865,1144,3142,2,150,7195780
881,1159,2550,2,150,7291049
825,1489,3487,2,150,7294014
433,4192,3321,2,150,7341325
893,1148,3827,2,150,7361365
673,2664,10000,0,100,7408399
1065,22,3559,2,150,7415625
1081,43,3446,2,150,7519586
493,3969,10000,0,100,7528379
549,3571,10000,0,100,7534907
1037,400,2132,2,150,7631055
417,4569,10000,0,100,7636184
869,1596,10000,0,100,7687161
829,1851,3106,2,150,7697742
749,2475,3321,2,150,7708041
109,6717,37835,1,150,7709011
889,1567,10000,0,100,7780722
1137,49,2289,2,150,7811793
485,4357,10000,0,100,7874622
1149,36,2960,2,150,7880156
953,1244,2788,2,150,7905879
861,1970,10000,0,100,8020840
1113,486,2361,2,150,8124554
1197,54,3464,2,150,8223677
189,6635,10000,0,100,8236893
905,2058,10000,0,100,8353134
1237,30,2246,2,150,8486349
501,4887,10000,0,100,8486817
1257,33,2979,2,150,8611436
1117,1037,10000,0,100,8716482
761,3450,2728,2,150,8765551
757,3561,27186,1,150,8835644
1301,50,2461,2,150,8914172
397,6023,3080,2,150,8927551
769,3547,10000,0,100,8944128
857,2939,10000,0,100,8988886
981,2287,2573,2,150,9152560
1049,1891,2560,2,150,9163130
537,5336,10000,0,100,9219772
1357,46,3574,2,150,9235094
681,4545,2089,2,150,9330324
841,3408,10000,0,100,9335553
1205,1088,3253,2,150,9340287
457,6023,10000,0,100,9375982
1157,1525,2984,2,150,9410737
1293,585,10000,0,100,9448786
1025,2377,10000,0,100,9567680
929,3197,2677,2,150,9654592
1425,45,3579,2,150,9682715
605,5424,3280,2,150,9719001
793,4177,2988,2,150,9737587
797,4143,3398,2,150,9744410
677,5020,2674,2,150,9764157
1457,30,3042,2,150,9831008
1373,564,3188,2,150,9834175
345,7296,3117,2,150,9874028
813,4226,3122,2,150,9948985
1309,1064,3617,2,150,9969337
777,4587,3299,2,150,10025573
1413,568,3341,2,150,10083436
925,3697,3071,2,150,10114029
1421,575,2849,2,150,10171508
353,7565,10000,0,100,10225075
937,3752,2779,2,150,10291293
1273,1617,2920,2,150,10318800
1537,51,4263,2,150,10381997
1285,1604,3829,2,150,10426666
1077,3004,3469,2,150,10439539
1005,3378,2733,2,150,10446623
685,5657,10000,0,100,10483386
1297,1623,10000,0,100,10487739
1485,553,2696,2,150,10557802
821,4829,3897,2,150,10593282
1493,555,3163,2,150,10599302
309,8381,3478,2,150,10673973
1341,1620,3264,2,150,10687959
705,5775,3741,2,150,10723064
1589,47,3049,2,150,10785941
989,3910,10000,0,100,10856866
1281,2100,1669,2,150,10882646
1145,3082,3096,2,150,10886165
901,4637,3280,2,150,10891160
1377,1612,10000,0,100,10923273
465,7613,3772,2,150,11007374
317,8678,3111,2,150,11052193
1317,2141,2179,2,150,11127168
1489,1095,10000,0,100,11138918
1573,572,3126,2,150,11187865
1181,3152,3424,2,150,11199645
1653,41,3153,2,150,11266952
1521,1116,3475,2,150,11325289
1661,51,2099,2,150,11357272
1669,51,3543,2,150,11398425
1069,4080,10000,0,100,11513254
689,6723,2924,2,150,11549317
1697,48,3490,2,150,11599123
1405,2206,3294,2,150,11640967
965,4934,3090,2,150,11676779
1017,4548,10000,0,100,11697018
1713,43,3192,2,150,11718075
1641,629,3126,2,150,11732904
1177,3729,2656,2,150,11736204
1101,4192,10000,0,100,11790787
1345,2734,3330,2,150,11842109
1121,4229,3739,2,150,11908822
1741,53,3631,2,150,11973514
1749,57,3305,2,150,12018386
713,6991,2898,2,150,12020428
837,6133,10000,0,100,12060680
1761,36,2159,2,150,12077478
801,6452,10000,0,100,12093716
1209,3813,2971,2,150,12105721
949,5482,10000,0,100,12143842
1469,2266,2251,2,150,12189789
773,6799,3320,2,150,12196422
1781,52,2503,2,150,12217826
1229,3843,3423,2,150,12257185
1409,2787,2949,2,150,12262555
1225,3867,10000,0,100,12281487
1109,4769,2439,2,150,12367198
1817,31,3102,2,150,12402013
745,7250,10000,0,100,12483207
1837,36,2654,2,150,12529899
1449,2841,2978,2,150,12561504
1053,5263,10000,0,100,12575339
1841,49,3286,2,150,12582845
1529,2349,10000,0,100,12639832
1001,5644,3056,2,150,12671879
897,6433,10000,0,100,12687627
1465,2860,3612,2,150,12742018
1289,3962,10000,0,100,12824357
1797,655,2668,2,150,12902443
1093,5383,2623,2,150,12939065
1497,2875,3449,2,150,12960877
193,11404,30395,1,150,13006217
1337,3954,10000,0,100,13021354
601,8854,10000,0,100,13148166
1917,62,2893,2,150,13169337
1365,3957,2892,2,150,13186554
81,12401,30451,1,150,13190585
1849,617,3245,2,150,13190897
1061,5897,2459,2,150,13249066
1461,3481,2574,2,150,13323294
653,8747,3798,2,150,13328159
1613,2436,3221,2,150,13338578
1949,84,3357,2,150,13435484
141,12253,33323,1,150,13450781
1801,1314,10000,0,100,13602667
