block_id,bct,size,priority,deadline,duration
5,58,32302,1,150,536028
9,46,10000,0,100,564692
13,61,3470,2,150,581171
17,48,2406,2,150,609330
25,74,3323,2,150,676152
21,77,10000,0,100,678958
29,61,10000,0,100,703747
33,70,3055,2,150,713561
41,57,10000,0,100,742399
37,97,10000,0,100,782133
53,95,10000,0,100,861350
69,52,10000,0,100,899615
65,99,3084,2,150,906584
61,104,10000,0,100,911404
57,155,4020,2,150,921865
77,86,10000,0,100,974764
85,112,2191,2,150,1042018
93,59,3282,2,150,1070546
89,102,1395,2,150,1072563
97,40,10000,0,100,1092570
101,40,2556,2,150,1093090
105,57,10000,0,100,1149865
113,66,10000,0,100,1200258
121,66,2909,2,150,1241297
117,122,2667,2,150,1257218
125,46,3711,2,150,1260899
133,45,3527,2,150,1299945
129,54,10000,0,100,1308967
137,72,10000,0,100,1367818
153,61,10000,0,100,1478637
149,102,3019,2,150,1478888
157,60,3038,2,150,1479195
161,57,2982,2,150,1516758
145,181,3598,2,150,1518217
165,109,26719,1,150,1609354
169,97,3287,2,150,1637878
177,19,3104,2,150,1640633
173,67,3070,2,150,1648213
181,30,2349,2,150,1691558
185,31,10000,0,100,1733086
189,38,10000,0,100,1742368
197,69,10000,0,100,1814474
205,69,10000,0,100,1854552
201,119,3264,2,150,1864120
209,82,3291,2,150,1867550
217,35,10000,0,100,1903221
213,76,2587,2,150,1903677
221,51,3343,2,150,1919693
229,75,10000,0,100,2025409
241,52,10000,0,100,2082739
237,107,3222,2,150,2098236
233,148,3912,2,150,2098516
245,95,2765,2,150,2127162
249,65,2628,2,150,2138445
253,67,10000,0,100,2179872
269,118,3021,2,150,2314214
273,81,10000,0,100,2318013
281,76,10000,0,100,2355424
289,57,10000,0,100,2375528
277,145,2691,2,150,2381986
297,67,10000,0,100,2427145
301,121,3281,2,150,2480562
313,60,2618,2,150,2502293
309,105,3478,2,150,2507216
305,114,10000,0,100,2514762
317,61,3111,2,150,2542615
321,131,31206,1,150,2653870
329,79,10000,0,100,2684116
325,141,2883,2,150,2704914
333,103,2859,2,150,2708440
341,62,10000,0,100,2748273
