block_id,bct,size,priority,deadline,duration
5,58,32302,1,150,495631
9,33,10000,0,100,511751
13,52,3470,2,150,531453
17,59,2406,2,150,578802
21,43,10000,0,100,602974
25,60,3323,2,150,620947
29,73,10000,0,100,673769
41,60,10000,0,100,703121
37,92,10000,0,100,734698
53,57,10000,0,100,781924
61,93,10000,0,100,857615
69,69,10000,0,100,875981
65,118,3084,2,150,883773
77,41,10000,0,100,888249
89,77,1395,2,150,1004947
93,37,3282,2,150,1006094
85,124,2191,2,150,1011066
97,50,10000,0,100,1060177
101,55,2556,2,150,1065712
105,58,10000,0,100,1109048
113,83,10000,0,100,1175264
117,112,2667,2,150,1204674
121,81,2909,2,150,1213698
125,62,3711,2,150,1234938
133,73,3527,2,150,1287203
129,77,10000,0,100,1290933
145,143,3598,2,150,1439678
157,68,3038,2,150,1445468
153,69,10000,0,100,1447210
149,113,3019,2,150,1449749
161,55,2982,2,150,1474271
169,72,3287,2,150,1572052
165,128,26719,1,150,1587352
173,77,3070,2,150,1616832
177,53,3104,2,150,1634448
181,18,2349,2,150,1639967
185,58,10000,0,100,1721257
189,65,10000,0,100,1728503
197,89,10000,0,100,1794457
201,116,3264,2,150,1821989
205,76,10000,0,100,1823326
209,82,3291,2,150,1828984
213,62,2587,2,150,1848888
217,63,10000,0,100,1890870
221,71,3343,2,150,1899615
225,135,29796,1,150,2003660
233,119,3912,2,150,2028447
237,100,3222,2,150,2050824
245,72,2765,2,150,2063464
241,78,10000,0,100,2069977
249,68,2628,2,150,2100568
253,35,10000,0,100,2109314
265,90,10000,0,100,2245637
281,57,10000,0,100,2295036
273,111,10000,0,100,2308267
277,141,2691,2,150,2338037
289,72,10000,0,100,2350288
297,79,10000,0,100,2397850
305,58,10000,0,100,2417745
301,124,3281,2,150,2443578
309,88,3478,2,150,2447654
317,27,3111,2,150,2467481
313,71,2618,2,150,2471739
329,91,10000,0,100,2653452
325,139,2883,2,150,2660924
337,96,3161,2,150,2699186
333,137,2859,2,150,2699437
341,64,10000,0,100,2707825
353,39,10000,0,100,2763610
357,144,2822,2,150,2868639
365,117,3148,2,150,2883182
377,60,10000,0,100,2906703
373,82,10000,0,100,2928559
369,126,2604,2,150,2931490
385,115,22879,1,150,3003875
393,86,10000,0,100,3055417
401,49,10000,0,100,3060454
405,81,2549,2,150,3092530
409,44,2748,2,150,3096797
397,145,3080,2,150,3115460
413,118,28976,1,150,3210793
421,144,3362,2,150,3278134
429,64,10000,0,100,3279179
437,26,2799,2,150,3281615
433,73,3321,2,150,3288625
425,121,2066,2,150,3294372
441,54,10000,0,100,3349921
449,157,3852,2,150,3493498
461,80,2768,2,150,3499036
457,85,10000,0,100,3503758
465,44,3772,2,150,3503792
453,127,2675,2,150,3505042
469,64,10000,0,100,3564713
485,95,10000,0,100,3677690
493,102,10000,0,100,3726384
501,83,10000,0,100,3747698
517,61,2385,2,150,3847957
513,105,3436,2,150,3851234
509,157,27411,1,150,3862982
521,78,3810,2,150,3905152
525,62,3154,2,150,3929596
529,46,10000,0,100,3953489
537,96,10000,0,100,4045462
553,76,2881,2,150,4107026
549,83,10000,0,100,4114161
557,43,2686,2,150,4114832
545,131,2603,2,150,4121308
541,180,3573,2,150,4130294
561,82,10000,0,100,4193629
565,119,20038,1,150,4232051
573,71,10000,0,100,4265764
577,104,10000,0,100,4300056
585,99,10000,0,100,4335344
581,141,3361,2,150,4337181
593,82,3079,2,150,4358391
589,138,2858,2,150,4374586
601,67,10000,0,100,4424699
613,113,3032,2,150,4512259
617,76,2279,2,150,4516244
621,37,2723,2,150,4516937
605,166,3280,2,150,4523715
609,132,10000,0,100,4530695
625,59,10000,0,100,4580056
629,91,10000,0,100,4613321
641,89,10000,0,100,4691962
649,124,3384,2,150,4727461
653,100,3798,2,150,4743818
661,70,10000,0,100,4795589
665,139,21890,1,150,4865961
677,118,2674,2,150,4926584
681,84,2089,2,150,4932435
689,43,2924,2,150,4933181
669,178,3010,2,150,4944394
685,64,10000,0,100,4954186
693,145,24099,1,150,5076124
709,46,3750,2,150,5098398
697,139,3896,2,150,5109685
705,101,3741,2,150,5112488
701,105,10000,0,100,5115488
713,35,2898,2,150,5128758
717,57,10000,0,100,5192002
721,64,10000,0,100,5198725
737,54,10000,0,100,5310822
729,150,2519,2,150,5325860
733,120,3357,2,150,5335394
741,106,2809,2,150,5362454
745,78,10000,0,100,5375817
753,58,10000,0,100,5396775
761,113,2728,2,150,5492540
